doc_id,technical,political,development,sustainability
kmaras_val_406,0,0,1,0
kmaras_bld_1432,0,0,1,0
hatay_bld_0291,2,2,2,0
csb_0291,2,2,3,0
csb_0917,3,1,2,1
tccb_252,0,3,1,0
hatay_bld_0678,0,3,1,0
kmaras_bld_0329,0,3,2,0
kmaras_bld_0150,0,0,0,0
hatay_bld_0935,0,2,0,0
kmaras_bld_0725,0,0,0,0
tccb_051,2,3,3,0
adiyaman_val_052,0,2,1,0
tccb_072,1,3,2,0
csb_0031,3,2,2,0
kmaras_val_067,1,1,2,0
adiyaman_val_035,2,2,2,0
hatay_bld_0037,0,0,0,0
csb_0402,1,2,3,0
csb_0588,2,3,2,0
kmaras_bld_0967,1,0,2,0
hatay_val_265,2,2,1,0
tccb_129,2,3,2,0
hatay_bld_0201,0,1,0,0
tccb_220,1,3,2,0
kmaras_bld_0070,1,1,3,0
csb_0114,0,2,3,0
kmaras_bld_2179,1,3,3,0
hatay_bld_0478,0,3,2,0
hatay_bld_0888,1,1,2,0
csb_0171,1,3,3,0
hatay_bld_0102,1,1,2,0
csb_0543,2,3,2,0
hatay_bld_0026,0,1,3,0
kmaras_val_277,0,1,0,0
csb_0035,3,2,2,0
csb_0525,2,3,2,0
tccb_197,2,3,2,0
hatay_bld_0057,3,0,1,0
tccb_015,1,3,1,0
tccb_073,1,3,2,0
hatay_bld_0206,2,0,3,0
tccb_140,0,3,1,1
csb_0025,3,2,1,0
csb_0577,2,3,1,0
adiyaman_val_024,0,1,2,0
hatay_bld_0094,0,1,1,0
csb_0944,1,3,2,0
kmaras_bld_0718,0,1,1,0
csb_0223,0,2,3,0
tccb_198,2,3,3,0
tccb_115,0,3,0,0
tccb_215,2,3,2,0
kmaras_val_200,0,3,0,0
kmaras_bld_0458,1,0,3,0
csb_0112,3,2,1,0
csb_0767,1,2,3,0
adiyaman_val_034,0,1,2,0
hatay_bld_0235,1,0,0,0
kmaras_bld_1226,0,0,3,0
csb_0266,2,2,2,0
kmaras_bld_0201,0,2,0,0
hatay_val_237,0,1,1,0
kmaras_val_055,1,1,2,0
csb_0581,0,2,2,2
tccb_025,2,3,3,0
hatay_bld_0866,0,1,0,0
kmaras_bld_1891,2,2,2,0
kmaras_bld_0238,0,1,3,0
tccb_181,0,3,0,0
adiyaman_val_030,0,1,2,0
csb_0013,3,0,0,0
kmaras_bld_0138,0,3,1,0
csb_0241,1,3,2,1
csb_0433,0,2,0,0
csb_0530,1,3,2,0
csb_0527,2,3,2,0
hatay_bld_0881,0,0,2,1
kmaras_bld_1256,0,0,0,0
hatay_bld_0080,0,1,0,0
csb_0732,1,3,2,0
hatay_val_313,2,3,3,1
kmaras_val_190,0,2,2,1
hatay_val_281,0,1,0,0
hatay_bld_0280,0,0,0,0
tccb_091,2,3,2,0
tccb_119,0,3,2,0
tccb_162,0,3,1,0
kmaras_bld_0465,0,0,1,0
tccb_060,1,3,2,0
kmaras_val_136,1,1,0,0
kmaras_bld_1963,0,3,1,0
hatay_bld_0023,0,1,3,0
csb_0941,1,2,3,1
kmaras_val_194,0,2,0,0
kmaras_bld_2051,0,3,3,0
kmaras_val_007,0,1,0,0
kmaras_bld_0388,2,1,3,0
csb_0942,1,3,3,0
tccb_070,1,3,2,0
csb_0034,3,3,2,0
csb_0043,2,3,3,0
csb_0669,3,1,2,3
tccb_128,0,3,3,0
csb_0622,1,3,2,0
hatay_bld_0196,0,0,0,0
adiyaman_val_068,1,2,1,0
csb_0119,1,2,3,0
csb_0727,1,3,3,0
kmaras_bld_0744,0,0,0,0
csb_0496,1,3,1,0
kmaras_bld_0598,1,0,2,0
kmaras_bld_0179,1,3,2,0
kmaras_bld_0256,0,2,3,0
hatay_bld_0104,3,0,2,0
tccb_046,1,3,2,0
csb_0442,3,2,1,2
tccb_138,0,3,0,0
tccb_125,0,3,1,0
csb_0621,1,3,1,0
hatay_bld_0035,0,3,1,0
hatay_val_308,0,2,0,0
kmaras_val_202,0,1,0,0
csb_0534,1,3,2,0
csb_0078,2,0,0,0
hatay_bld_0742,0,1,0,0
csb_0563,3,2,2,2
csb_0350,1,3,2,0
hatay_bld_0200,1,0,2,0
kmaras_val_367,1,1,2,0
tccb_031,1,3,2,0
csb_0636,0,2,0,1
