date,title,teaser,url,detail_title,full_text
05.04.2026,İstiklal Madalyası’nın 101. Yıl Dönümü Törenle Kutlandı,,https://www.kahramanmaras.gov.tr/istiklal-madalyasinin-101-yil-donumu-torenle-kutlandi,İstiklal Madalyası’nın 101. Yıl Dönümü Törenle Kutlandı,"Kahramanmaraş’a Türkiye Büyük Millet Meclisi tarafından verilen Kırmızı Şeritli İstiklal Madalyası’nın 101. yıl dönümü düzenlenen törenle kutlandı.

Tören kapsamında, Valimiz Mükerrem Ünlüer, Garnizon Komutanı Mahmut Sert ve Büyükşehir Belediye Başkanı Fırat Görgel tarafından Atatürk Anıtı’na çelenk sunuldu. Programda, aziz şehitlerimiz ve kahraman ecdadımız saygı ve minnetle anıldı.

Kırmızı Şeritli İstiklal Madalyamız, Büyükşehir Belediye Başkanı Fırat Görgel tarafından şanlı bayrağımıza takıldı. Günün anlam ve önemine ilişkin konuşmayı Başkan Görgel yaptı.

Kahramanmaraş’ın tarihine altın harflerle yazılan kurtuluş mücadelesinin simgesi olan İstiklal Madalyası’nın yıl dönümünde, milletimizin bağımsızlık uğruna ortaya koyduğu azim ve kararlılık bir kez daha vurgulandı. Kahramanlık ve istiklal ruhunun, aynı inanç ve kararlılıkla gelecek nesillere aktarılmaya devam edeceği ifade edildi."
03.04.2026,Vali Ünlüer Başkanlığında İl İdare Şube Başkanları Toplantısı Gerçekleştirildi,,https://www.kahramanmaras.gov.tr/vali-unluer-baskanliginda-il-idare-sube-baskanlari-toplantisi,Vali Ünlüer Başkanlığında İl İdare Şube Başkanları Toplantısı Gerçekleştirildi,"İl İdare Şube Başkanları Toplantısı, Valimiz Mükerrem Ünlüer başkanlığında Valilik Toplantı Salonu’nda gerçekleştirildi.
 
Toplantıya; Büyükşehir Belediye Başkanı Fırat Görgel, Vali Yardımcımız Davut Sinanoğlu, il idare şube başkanları ve ilgili kurum müdürleri katıldı.
 
Toplantıda, ilimiz genelinde yürütülen kamu hizmetleri, devam eden yatırımlar ve kurumların faaliyetleri kapsamlı bir şekilde değerlendirildi.
 
Kurumlar arası koordinasyonun güçlendirilmesi, kamu hizmetlerinin daha etkin ve verimli şekilde yürütülmesi, vatandaşlarımıza sunulan hizmetlerin kalitesinin artırılması ve ilimizin gelişimine katkı sağlayacak çalışmalar toplantının önemli gündem maddeleri arasında yer aldı. Ayrıca kurumların sorumluluk alanlarına giren konulara ilişkin yürütülen çalışmalar hakkında bilgi alışverişinde bulunularak karşılaşılan sorunlar ve çözüm önerileri ele alındı.
 
Toplantıda, devam eden projelerin son durumu değerlendirilirken önümüzdeki süreçte hayata geçirilmesi planlanan çalışmalar hakkında da görüş alışverişinde bulunuldu. İl genelinde kamu hizmetlerinin daha hızlı, etkili ve koordineli bir şekilde yürütülmesi amacıyla kurumlar arası iş birliğinin önemine dikkat çekildi.
 
Toplantıda değerlendirmelerde bulunan Vali Ünlüer, şehrimizin deprem sonrası bu kadar hızlı ilerlemesinde büyük desteği bulunan başta Sayın Cumhurbaşkanımız olmak üzere Sayın Bakanlarımıza, Milletvekillerimize, Büyükşehir Belediye Başkanımıza, kaymakamlarımıza, ilçe belediye başkanlarımıza, il başkanlarımıza, kamu kurum ve kuruluşlarının yöneticilerine, sivil toplum kuruluşlarına ve katkı sunan herkese teşekkür etti.
 
Son üç yıl içerisinde önemli mesafeler kat edildiğini ifade eden Vali Ünlüer, bu başarının ortak akıl, istişare ve birlikte çalışma anlayışıyla elde edildiğini belirterek,

“Hep birlikte taşın altına elimizi koyarak şehrimizi bugünlere taşıduk. İnşallah kısa süre içerisinde şehir merkezimizde iş yerleri ve konutları tamamlayıp hak sahiplerine teslim ettiğimizde çok daha güzel bir tabloyla karşılaşacağız.” dedi.
 
Konteyner kentlerdeki son duruma da değinen Vali Ünlüer, yakın zamanda şehirdeki konteyner kentler ile altyapı ve üstyapıya ilişkin geçici görüntülerin büyük ölçüde ortadan kalkacağını belirterek,

“2026 yılında Kahramanmaraş, sorunlarını büyük ölçüde çözmüş bir şehir görünümüne kavuşacak; 2027 yılında ise yeniden yapılanmış, güçlü bir Kahramanmaraş ortaya çıkacaktır.” ifadelerini kullandı.
 
Vali Ünlüer ayrıca, kamu kurumlarının vatandaş odaklı hizmet anlayışıyla çalışmalarını sürdürmesinin önemine vurgu yaparak, kamu hizmetlerinin etkinliğinin artırılması için tüm kurumların uyum ve iş birliği içerisinde hareket etmesi gerektiğini belirtti. İlimizin gelişimine katkı sağlayacak projelerin titizlikle takip edilmesi ve vatandaşlarımızın ihtiyaç ve beklentilerine en hızlı şekilde cevap verilmesi konusunda gerekli hassasiyetin gösterilmesini istedi.
 
Toplantı, görüş ve önerilerin alınması, koordinasyonu gerektiren hususların değerlendirilmesi ile sona erdi."
02.04.2026,"Vali Ünlüer, 2 Nisan Dünya Otizm Farkındalık Günü Programına Katıldı",,https://www.kahramanmaras.gov.tr/vali-unluer-2-nisan-dunya-otizm-farkindalik-gunu-programina-katildi,"Vali Ünlüer, 2 Nisan Dünya Otizm Farkındalık Günü Programına Katıldı","Valimiz Mükerrem Ünlüer, Dünya Otizm Farkındalık Günü dolayısıyla Engelsiz Yaşam, Bakım, Rehabilitasyon ve Aile Danışma Merkezinde düzenlenen programa katıldı.

Programa Vali Ünlüer’in yanı sıra Onikişubat Kaymakamı Salih Çiğdem, Aile ve Sosyal Hizmetler İl Müdürü Emre Çalğan, Kahramanmaraş Büyükşehir Belediyesi Genel Sekreter Yardımcısı Mutlu Kaya, ilgili kurum temsilcileri, merkezde hizmet alan özel bireyler ve aileleri katılım sağladı.

Otizme yönelik toplumsal farkındalığın artırılmasına yönelik özel bireyler tarafından çeşitli etkinlik düzenlendi. Sergi alanını gezen Vali Ünlüer, yapılan faaliyetler hakkında bilgi alarak özel bireyler ve aileleriyle bir süre sohbet etti.

Programın hazırlanmasında emeği geçen herkese teşekkür eden Vali Ünlüer, çocuklar için sağlıklı ve mutlu bir gelecek temennisinde bulundu. Yapılan çalışmaların, sevgi ve anlayışla desteklendiğinde her bireyin kendi potansiyelini en iyi şekilde ortaya koyabildiğini açıkça gösterdiğini belirten Vali Ünlüer, bu yönüyle yürütülen faaliyetlerin büyük anlam taşıdığını ifade etti.

Ailelerin gösterdiği sabır ve fedakârlığın her türlü takdirin üzerinde olduğunu dile getiren Vali Ünlüer, devletin de özel gereksinimli bireylerin hayatın her alanında daha güçlü şekilde yer alabilmesi için eğitimden sağlığa, spordan sosyal yaşama kadar kapsamlı destekler sunmaya devam ettiğini ifade etti. 

Etkinlik, günün anlam ve önemine yönelik gerçekleştirilen faaliyetler ve pasta kesiminin ardından sona erdi."
30.03.2026,UNESCO Edebiyat Şehri Kahramanmaraş’ta “İyileştiren Kütüphane” Temasıyla Anlamlı Etkinlik,,https://www.kahramanmaras.gov.tr/unesco-edebiyat-sehri-kahramanmarasta-iyilestiren-kutuphane-temasiyla-anlamli-etkinlik,UNESCO Edebiyat Şehri Kahramanmaraş’ta “İyileştiren Kütüphane” Temasıyla Anlamlı Etkinlik,"Valimiz Mükerrem Ünlüer, 62. Kütüphane Haftası dolayısıyla Vali Yardımcımız Ökkeş Safa Türkoğlu, İl Kültür ve Turizm Müdürümüz Eshabil Yıldız ve beraberindeki heyeti makamında kabul etti.
 
“İyileştiren Kütüphane” temasıyla düzenlenen 62. Kütüphane Haftası kapsamında, il genelindeki tüm kurumlarda eş zamanlı kitap okuma etkinlikleri gerçekleştirildi.
 
“Kahramanmaraş Okuyor!” mottosu ve “İyileştiren Kütüphane” temasıyla hayata geçirilen etkinliklerde, okumanın bireysel gelişim ve toplumsal ilerleme açısından taşıdığı öneme vurgu yapıldı. Etkinlik kapsamında Valimiz Mükerrem Ünlüer de Valilik makamında misafirleriyle birlikte kitap okuyarak farkındalık oluşturdu.
 
Vali Ünlüer, etkinlik sonunda yaptığı değerlendirmede şu ifadelere yer verdi:
 
“Bugün ‘Kahramanmaraş Okuyor’ temasıyla sabah okumasını gerçekleştirdik. Amacımız, vatandaşlarımıza örnek olarak okumayı teşvik etmektir. Bu yılki motto olan ‘Kitap İyileştirir’ şehrimiz için ayrıca büyük önem taşıyor. Zira üç yıl önce yaşadığımız büyük felaket sonrası ilimizde iyileşme süreci devam ediyor. ‘Okuyan İyileşir’ anlayışıyla kitap okuma kültürünü ilimizde daha üst seviyeye taşımayı hedefliyoruz.
 
Kahramanmaraş, yedi güzel adam yetiştiren ve Türkiye’de kültür ile edebiyata büyük katkı sunan bir şehir olarak, UNESCO Yaratıcı Şehirler Ağı’na Edebiyat Şehri olarak katılmıştır. Bu yönüyle okuma konusunda öncülük eden kütüphaneleri, okuyan insanları, yetiştirdiği bilim insanları ve edebiyatçılarıyla örnek bir şehir olma özelliğini taşımaktadır.”"
20.03.2026,Ramazan Bayramı Kahramanmaraş’ta Coşkuyla Kutlandı,,https://www.kahramanmaras.gov.tr/ramazan-bayrami-kahramanmarasta-coskuyla-kutlandi,Ramazan Bayramı Kahramanmaraş’ta Coşkuyla Kutlandı,"Kahramanmaraş’ta Ramazan Bayramı, birlik ve beraberliğin en güzel örneklerinden birine sahne oldu. Milli İrade Meydanı’nda düzenlenen geleneksel bayramlaşma programında, şehir protokolü ve vatandaşlarımız bayram sevincinde buluştu.

Valiliğimizin koordinasyonunda gerçekleştirilen programda, Valimiz Mükerrem Ünlüer, Milletvekilleri, protokol üyeleri, hemşehrimiz ile bir araya gelerek bayramlaştı. Samimi ve sıcak bir atmosferde gerçekleşen program, bayramın manevi iklimini en güçlü şekilde yansıttı.

Programa, Vali Ünlüer, 66. Hükümet Tarım ve Orman Bakanı Prof. Dr. Vahit Kirişci, Kahramanmaraş milletvekilleri Ömer Oruç Bilal Debgici, Dr. Tuba Köksal, Prof. Dr. Mehmet Şahin, Uzm. Dr. İrfan Karatutlu’nun yanı sıra 2. Zırhlı Tugay Komutanı Tuğgeneral Mahmut Sert, Büyükşehir Belediye Başkanı Fırat Görgel, vali yardımcıları, kaymakamlar, ilçe belediye başkanları ve çok sayıda davetli katıldı.

Vatandaşların yoğun ilgi gösterdiği programda konuşan Vali Ünlüer: “Bir Ramazan Bayramı’na daha eriştik. Bizi bugünlere kavuşturan Rabbimize hamd ediyoruz. Birlikte coşkulu bir Ramazan geçirdik. İftar sofralarında buluştuk. Sivil toplum kuruluşlarımızın, sanayi odamızın ve belediyelerimizin düzenlediği iftarlara katıldık. İftar çadırlarında bulunduk. Coşkulu bir şekilde Ramazan’ı idrak ettik. Çok şükür bayrama ulaştık. Biz valilik ve belediyeler olarak bayramla ilgili her türlü tedbiri aldık. 

Vatandaşlarımızın bayramlarını çok rahat bir şekilde geçirebilmeleri için tüm önlemlerimizi aldık. Yaklaşık 4 bin 884 polisimiz ve jandarmamız şu anda sahada görevli. Vatandaşlarımızın daha sağlıklı daha huzurlu bir bayram geçirmeleri için güvenlik birimlerimiz, sağlık birimlerimiz ve itfaiye ekiplerimiz tamamen sahada ve vatandaşımızın hizmetinde olacaklar. Bizim vatandaşlarımızdan istirhamımız şudur; özellikle trafiğe çıkacak vatandaşlarımız lütfen trafik kurallarına uysun, hız limitlerine dikkat etsin, uykusuz yola çıkmasın ve kurallara uyarak hareket etsin. İnşallah yolun sonu bayram olsun diyorum. Ben nice hayırlı, güzel ve mutlu bayramlar diliyorum. Herkese hayırlı bayramlar diliyorum.” dedi."
19.03.2026,Ramazan Bayramı Münasebetiyle Şehitlerimizi ve Depremlerde Hayatını Kaybeden Vatandaşlarımızı Rahmetle Andık,,https://www.kahramanmaras.gov.tr/ramazan--bayrami-munasebetiyle-sehitlerimizi-ve-depremlerde-hayatini-kaybeden-vatandaslarimizi-rahmetle-andik,Ramazan Bayramı Münasebetiyle Şehitlerimizi ve Depremlerde Hayatını Kaybeden Vatandaşlarımızı Rahmetle Andık,"Valimiz Mükerrem Ünlüer, Ramazan Bayramı münasebetiyle arefe günü düzenlenen program kapsamında Şeyh Adil Mezarlığı Şehitliğine ve Kapıçam Şehir Mezarlığı deprem şehitliğine ziyarette bulundu.
 
Vali Ünlüer, şehit ailelerimiz, gazilerimiz ve depremde yakınlarını kaybeden vatandaşlarımızın yanı sıra Kahramanmaraş Milletvekilleri Ömer Oruç Bilal Debgici, Dr. Tuba Köksal, Prof. Dr. Mehmet Şahin, Uzm. Dr. İrfan Karatutlu, 2. Zırhlı Tugay Komutanı Tuğgeneral Mahmut Sert, Büyükşehir Belediye Başkanvekili Mehmet Beşen, Kaymakamlar, İl Jandarma Komutanı Tümgeneral Ali Gemalmaz, İl Emniyet Müdürü Hasan Yiğit, İlçe Belediye Başkanları, siyasi parti temsilcileri ve sivil toplum kuruluşu temsilcileri ile birlikte şehitlerimizin kabrine karanfil bırakıp dua ettiler.
 
Şehitlik ziyareti, deprem şehitlerimiz ve tüm şehitlerimiz için okunan Kuran-ı Kerim tilaveti ve yapılan duaların ardından sona erdi.
 
Şehit ailelerimiz ve gazilerimiz ile bir süre sohbet eden Vali Ünlüer, 6 Şubat depremlerinde hayatını kaybeden vatandaşlarımıza ve tüm şehitlerimize Allah’tan rahmet, gazilerimize sağlık ve afiyet dileklerinde bulundu.
 
Şehit ailelerimiz ve gazilerimiz nezdinde Kahramanmaraşlı hemşehrilerimizin Ramazan Bayramı’nı tebrik eden Vali Ünlüer, birlik ve beraberlik içerisinde daha nice bayramlara kavuşma temennisinde bulundu."
19.03.2026,"Vali Ünlüer, Ocak-Şubat Dönemi Asayiş ve Güvenlik Verilerini Kamuoyuyla Paylaştı",,https://www.kahramanmaras.gov.tr/vali-unluer-ocak-subat-donemi-asayis-ve-guvenlik-verilerini-kamuoyuyla-paylasti,"Vali Ünlüer, Ocak-Şubat Dönemi Asayiş ve Güvenlik Verilerini Kamuoyuyla Paylaştı","İlimizde emniyet ve jandarma teşkilatımız tarafından yürütülen 2026 yılının ilk iki ayına ilişkin asayiş ve güvenlik hizmetlerine ilişkin veriler canlı yayında kamuoyuyla paylaştı.
 
Valimiz Mükerrem Ünlüer yaptığı açıklamada, kent genelinde suç oranlarında önemli düşüşler yaşandığını belirterek, güvenlik güçlerinin sahadaki çalışmalarının sonuç verdiğini söyledi.
 
Vali Ünlüer, açıklamasında özellikle kişilere ve malvarlığına karşı işlenen suçlarda dikkat çeken bir azalma olduğunu belirterek, “Kişilere karşı işlenen 10 önemli suçta olay sayısı geçen yılın aynı dönemine göre yüzde 12,6 azalarak 1.303’ten 1.139’a geriledi. Aydınlatma oranı ise yüzde 100’e ulaştı” dedi.
 
Konuşmasının devamında malvarlığına karşı işlenen suçlara da değinen Vali Ünlüer, bu alanda da önemli bir düşüş yaşandığını ifade ederek, 2025 yılında 315 olan olay sayısının 2026’da 198’e gerilediğini ve yüzde 37,1 oranında azalma sağlandığını kaydetti.
 
Terörle mücadele çalışmalarına ilişkin bilgi veren Vali Ünlüer, konuşmasının devamında: “Yılın ilk iki ayında toplam 37 operasyon düzenlendi. Bu operasyonlarda 21 kişinin gözaltına alındığını, 7 kişinin ise tutuklandı.
 
Organize suçlarla mücadelede 3 ayrı organize suç örgüt çökertildi. Düzenlenen operasyonlarda 26 şüpheli gözaltına alındı, 17’si tutuklandı. Suç örgütlerine karşı mücadelemiz kararlılıkla sürdürülüyor.
 
Uzun süredir aranan şüphelilere yönelik yürütülen çalışmalarda, önemli bir operasyonun detaylarını paylaşmak istiyorum. Cinayet şüphelisi bir şahıs ile bir bina olayıyla bağlantılı aranan bir kişi İstanbul ve Muğla’da düzenlenen operasyonlarla yakalanarak adalete teslim edildi.
 
Narkotik suçlarla mücadelede, 2026 yılı içerisinde 78 operasyon gerçekleştirildi. Bu operasyonlarda 520 kişi gözaltına alındı, 121 kişi tutuklandı.
 
Siber suçlarla mücadele kapsamında yürütülen çalışmalarda ise 448 hesap üzerinde inceleme yapıldı, çevrimiçi çocuk istismarı ve yasa dışı bilişim suçlarına yönelik toplam 10 operasyon düzenlendi 1 kişi tutuklandı.
 
Olayları başlıklar halinde paylaşmaya devam etmek istiyorum. Ruhsatsız silah ve kaçakçılıkla mücadele kapsamında da önemli sonuçlar elde ettik. 379 kişi hakkında işlem yapıldı ve 306 silah ele geçirildi. Ayrıca Kahramanmaraş bu alanda Türkiye genelinde 4. sırada yer alıyor.” dedi.
 
Konuşmasının devamında trafik ve bayram tedbirlerine de değinen Valimiz Mükerrem Ünlüer, şehir genelinde yoğun denetimler gerçekleştirildiğini belirtti. Yakın zamanda devreye alınacak ortalama hız tespit sistemleriyle trafik kazalarının azaltılmasının hedeflendiğini ifade etti.
 
Ramazan Bayramı öncesi alınan tedbirlere de dikkat çeken Vali Ünlüer, vatandaşların huzur ve güven içinde bir bayram geçirmesi için il genelinde geniş kapsamlı güvenlik planlaması yapıldığını söyledi. Bu kapsamda binlerce personelin görev yapacağını, trafik ve asayiş denetimlerinin artırılacağını belirtti.
 
Açıklamasının sonunda kararlılık mesajı veren Vali Ünlüer, “Devletimizin tüm kurumları suç ve suçlunun peşindedir. Halkımızın huzurunu bozanlara fırsat verilmeyecektir” ifadelerini kullandı."
18.03.2026,18 Mart Şehitleri Anma Günü ve Çanakkale Zaferi’nin 111. Yıl Dönümü,,https://www.kahramanmaras.gov.tr/18-mart-sehitleri-anma-gunu-ve-canakkale-zaferinin-111-yil-donumu,18 Mart Şehitleri Anma Günü ve Çanakkale Zaferi’nin 111. Yıl Dönümü,"18 Mart Şehitleri Anma Günü ve Çanakkale Zaferi’nin 111. yıl dönümü dolayısıyla tören düzenlendi.
 
Valimiz Mükerrem Ünlüer, Garnizon Komutanı Tümgeneral Ahmet Gülmüş, Büyükşehir Belediye Başkanı Fırat Görgel ile Türkiye Harp Malulü Gaziler, Şehit Dul ve Yetimleri Derneği Kahramanmaraş Şube Başkanı Mehmet Ali Küpeli tarafından Şehitlik Anıtı’na çelenk sunuldu.
 
Saygı duruşu ve İstiklal Marşı’nın okunmasının ardından şehitlik özel defterini imzalayan Vali Ünlüer, yaptığı konuşmada şu ifadelere yer verdi:
 
“Aziz milletimizin bağımsızlık aşkıyla yazdığı Çanakkale Zaferi’nin 111. yıl dönümünü büyük bir gururla idrak ediyor, şehitlerimizi rahmetle anıyoruz.
 
18 Mart 1915’te milletimiz; sarsılmaz bir iman ve cesaretle dünyanın en güçlü ordularına karşı durmuş, ‘Çanakkale Geçilmez’ gerçeğini tarihe altın harflerle kazımıştır. Bu zafer, yalnızca askeri bir başarı değil, birliğimizin ve vatan sevdamızın en güçlü sembolüdür.
 
Bizlere düşen en büyük sorumluluk, şehitlerimizin emaneti olan bu mukaddes vatanı korumak ve Çanakkale ruhunu gelecek nesillere gururla aktarmaktır.
 
Bu duygularla, başta Gazi Mustafa Kemal Atatürk ve silah arkadaşları olmak üzere, vatan uğruna can veren tüm kahramanlarımızı minnet ve şükranla anıyorum.” dedi. 
 
Vali Ünlüer, daha sonra şehit aileleri, gaziler ve protokol üyeleriyle birlikte şehitlerin kabirlerini ziyaret ederek karanfil bıraktı. Şehitlik ziyareti, Kur’an-ı Kerim tilaveti ve duaların ardından sona erdi.
 
Program, Mehmet Akif Ersoy Kültür Merkezi’nde düzenlenen etkinliklerle devam etti. Saygı duruşu, İstiklal Marşı ve Kur’an-ı Kerim tilavetiyle başlayan programda, Gülizar Şamil Aktaş Anadolu Lisesi Müdürü Melih Atılgan açılış konuşmasını gerçekleştirdi.
 
Program kapsamında Personel Piyade Üsteğmen Muhammed Raşit Dur, günün anlam ve önemine ilişkin konuşma yaptı. Ardından Çanakkale Şiirleri ve tiyatro gösterisi sahnelendi.
 
Valimiz Mükerrem Ünlüer, Milletvekili Uzm. Dr. İrfan Karatutlu ve il protokolü ile birlikte 18 Mart Şehitleri Anma Günü ve Çanakkale Zaferi’nin 111. yıl dönümü dolayısıyla Türkiye Harp Malulü Gaziler, Şehit Dul ve Yetimler Derneği Kahramanmaraş Şubesini ziyaret etti. 
 
Ziyarette, dernek üyeleriyle bir araya gelen Vali Ünlüer, aziz şehitlerimizin kıymetli emanetleri olan aileleri ve kahraman gazilerimizle bir süre sohbet etti.
 
Şehitlerimizin ve gazilerimizin milletimizin gönlünde müstesna bir yere sahip olduğunu vurgulayan Vali Ünlüer, devletimizin tüm imkanlarıyla şehit ailelerimiz ve gazilerimizin yanında olmaya devam edeceğini ifade etti."
18.03.2026,"Cumhurbaşkanımız Sayın Recep Tayyip Erdoğan’ın, 18 Mart Şehitleri Anma Günü ve Çanakkale Zaferi’nin 111. Yıl Dönümü Mesajı",,https://www.kahramanmaras.gov.tr/cumhurbaskanimiz-sayin-recep-tayyip-erdoganin-18-mart-sehitleri-anma-gunu-ve-canakkale-zaferinin-111-yil-donumu-mesaji,Teknik olarak web sitemizde kullanılan çerez türleri aşağıdaki tabloda gösterilmektedir.,"“Milletimizin en şanlı destanlarından biri olan Çanakkale Zaferi’nin yıl dönümünü büyük bir gurur ve heyecanla idrak ediyor, Çanakkale’yi geçilmez kılan kahramanlarımızı rahmetle, minnetle ve şükranla yâd ediyorum.

Çanakkale, yalnızca bir savaşın değil; inancın, fedakârlığın, vatan sevgisinin ve millet olma şuurunun, bütün dünyaya ilan edildiği eşsiz bir destandır. Çanakkale’de iman dolu göğüslerin verdiği mücadele, milletimizin hürriyetinden ve bağımsızlığından asla vazgeçmeyeceğinin göstergesi ve tarihi bir dönüm noktası olmuştur.

Anadolu’nun dört bir yanından gelerek vatan toprağını savunmak için cepheye koşan kahramanlarımız; kadınıyla erkeğiyle, genciyle yaşlısıyla milletçe tek yürek olmuş, vatan toprağını canları pahasına savunmuştur. Ecdadımızın ortaya koyduğu bu büyük direniş, yalnızca vatanımızın değil, dünyanın dört bir yanında zulüm altında yaşayan mazlum milletlerin de kaderini değiştirmiştir.

Çanakkale’de sergilenen kahramanlık, milletimizin kardeşliğinin, dayanışmasının ve ortak kaderinin en güçlü sembollerinden biridir. Bizler de bugün aynı ruh ve kararlılıkla, Türkiye Yüzyılı hedeflerimize yürürken, ecdadımızın bize bıraktığı bu kutlu mirastan güç alıyoruz.

Çanakkale ruhu, milletimizin birlik ve beraberliğine yönelen her türlü tehdide karşı en büyük ilham kaynağımız olmaya devam edecektir. Şehitlerimizin emaneti olan bu aziz vatanı, daha güçlü, daha müreffeh ve daha güvenli yarınlara taşımak için var gücümüzle çalışmayı sürdüreceğiz.

Bu düşüncelerle, 18 Mart Şehitleri Anma Günü ve Çanakkale Zaferi’nin yıl dönümünde başta Gazi Mustafa Kemal olmak üzere tüm Çanakkale kahramanlarımızı, aziz şehitlerimizi ve gazilerimizi rahmetle, minnetle ve şükranla anıyorum.

Ruhları şad, mekânları cennet olsun.”"
18.03.2026,"Dr. Selma Ünlüer Hanımefendi, Gönül Elçileri ve Geçici Koruyucu Ailelerle İftar Sofrasında Buluştu",,https://www.kahramanmaras.gov.tr/dr-selma-unluer-hanimefendi-gonul-elcileri-ve-gecici-koruyucu-ailelerle-iftar-sofrasinda-bulustu,"Dr. Selma Ünlüer Hanımefendi, Gönül Elçileri ve Geçici Koruyucu Ailelerle İftar Sofrasında Buluştu","Valimiz Mükerrem Ünlüer’in eşi Dr. Selma Ünlüer Hanımefendi, Gönül Elçileri ile geçici koruyucu aileler için düzenlenen iftar programında bir araya geldi.
 
Ramazan ayının birlik, beraberlik ve dayanışma ruhunun yansıtıldığı programda; sevgi, merhamet ve paylaşma duygularını yaşatan gönül elçileri ile çocuklara sıcak bir yuva sunan koruyucu ailelerle yakından ilgilenildi. 
 
Programda konuşan Dr. Selma Ünlüer Hanımefendi, koruyucu ailelerin gösterdiği şefkat ve fedakârlığın her türlü takdirin üzerinde olduğunu ifade ederek, çocukların yüzlerindeki mutluluğun bu anlamlı hizmetin en güzel göstergesi olduğunu vurguladı.
 
Koruyucu ailelerimize teşekkür eden Dr. Ünlüer Hanımefendi, ihtiyaç sahibi çocuklara sahip çıkan ailelerin örnek bir sorumluluk üstlendiğini belirterek, Kahramanmaraş’ta sergilenen dayanışma ve merhamet duygusunun gurur verici olduğunu ifade etti. Ayrıca yaklaşan Ramazan Bayramı dolayısıyla koruyucu ailelerimizin bayramını tebrik etti.
Programda koruyucu aileler adına söz alan Yasemin Dertli ise; koruyucu aileliğin hayatına kattığı anlamı paylaşarak, çocuklarla kurulan gönül bağının tarif edilemez bir mutluluk olduğunu dile getirdi. 
 
Çocukların ailelere hayatı yeniden öğrettiğini ifade eden Dertli, bu sürecin karşılıklı sevgi ve anlayışla güçlendiğini belirtti.
 
Program kapsamında Gönül Elçilerine deniz yıldızı rozetleri takdim edildi. Deniz yıldızı rozetinin, her bir çocuğun hayatına dokunmanın büyük değişimlere vesile olabileceğini simgelediği ifade edildi.
 
Program, hatıra fotoğrafı çekiminin ardından sona erdi.
 
Dr. Selma Ünlüer Hanımefendiye ziyaretinde, Aile Sosyal Hizmetler İl Müdürü Emre Çalğan, 2. Zırhlı Tugay Komutanının eşi Ebru Sert, Cumhuriyet Başsavcısının eşi Sümeyra Tiryaki, Vali Yardımcımız Davut Sinanoğlu’nun eşi Nurten Sinanoğlu, Vali Yardımcımız Recep Aydın’ın eşi Gülcan Aydın, Onikişubat Kaymakamı Salih Çiğdem’in eşi Filiz Mediha Çiğdem, İl Emniyet Müdürünün eşi Evren Yiğit, DSİ Bölge Müdürünün eşi Derya Doğru, İl Müftüsünün eşi Saliha Güller, İl Nüfus ve Vatandaşlık Müdürü Sevgül Zengin, İl Basın ve Halkla İlişkiler Müdürü Fatma Özay ve İstiklal Üniversitesi Daire Başkanı Fatma Özdemir eşlik etti."
