doc_id,technical,political,development,sustainability
hatay_bld_0013,0,0,1,0
hatay_bld_0803,0,0,1,0
tccb_122,0,3,0,0
csb_0898,1,2,1,3
csb_0246,1,3,2,0
csb_0890,1,2,3,0
csb_0647,3,2,2,0
kmaras_bld_0274,0,0,0,0
csb_0051,3,2,2,0
kmaras_val_369,0,1,3,0
csb_0725,1,2,3,0
tccb_011,2,3,2,0
hatay_val_156,0,2,1,0
csb_0583,1,3,2,0
kmaras_val_275,0,1,0,0
kmaras_val_071,0,1,1,0
adiyaman_val_040,1,1,2,0
hatay_bld_0133,0,0,0,1
kmaras_bld_2287,1,1,3,0
kmaras_bld_1163,0,2,0,0
csb_0456,1,3,2,0
tccb_010,1,3,2,0
hatay_bld_0092,0,1,2,1
tccb_222,1,3,2,0
csb_0116,1,3,3,0
tccb_266,1,3,1,0
csb_0036,3,2,1,0
hatay_val_311,1,2,1,0
kmaras_bld_0289,1,0,2,0
csb_0696,3,2,3,0
csb_0002,2,1,1,0
csb_0823,1,3,3,0
csb_0316,2,2,2,0
tccb_016,1,3,2,0
kmaras_val_034,0,1,0,0
tccb_045,1,3,2,0
kmaras_val_037,1,3,0,0
kmaras_bld_1292,0,2,3,0
hatay_val_162,0,2,1,0
adiyaman_val_031,0,1,0,0
hatay_bld_0921,1,1,0,0
csb_0264,0,2,3,0
hatay_bld_0038,2,1,0,0
kmaras_val_004,0,3,1,0
csb_0028,3,2,1,0
hatay_bld_0034,0,3,0,0
csb_0670,1,2,2,1
kmaras_val_314,3,2,2,0
kmaras_bld_1223,0,3,0,0
adiyaman_val_037,1,1,2,0
hatay_bld_0096,1,1,2,0
csb_0902,1,3,3,0
csb_0176,1,3,2,0
csb_0045,2,1,2,0
hatay_val_329,0,3,2,0
tccb_301,2,3,3,0
kmaras_bld_2004,1,3,2,0
csb_0489,2,3,1,0
kmaras_bld_0490,0,0,1,0
kmaras_bld_0085,1,2,1,0
hatay_bld_0202,0,1,2,0
kmaras_bld_1281,2,3,3,0
kmaras_bld_2008,0,2,1,0
tccb_013,1,3,2,0
kmaras_bld_1771,2,0,2,0
csb_0493,2,3,1,0
kmaras_bld_0046,1,2,1,0
csb_0091,1,3,2,0
tccb_250,2,3,2,0
csb_0297,3,2,2,0
kmaras_val_217,0,1,0,0
csb_0154,1,3,2,0
csb_0901,1,3,3,0
kmaras_bld_1160,0,0,0,0
csb_0309,2,3,2,0
csb_0667,1,2,1,0
kmaras_val_197,1,3,3,0
csb_0706,2,3,3,2
kmaras_bld_0189,0,2,3,0
kmaras_val_253,2,3,2,0
kmaras_val_195,1,2,1,0
adiyaman_val_036,1,1,2,0
tccb_034,1,3,2,0
hatay_bld_0530,1,0,0,0
csb_0918,1,3,1,2
csb_0056,0,2,3,0
csb_0891,0,2,1,0
csb_0016,3,2,2,0
hatay_val_166,3,2,3,0
kmaras_bld_0627,2,3,3,0
kmaras_val_012,1,3,2,0
