frame,word,z_score,n_in_high,n_in_low
technical,bin,44.16601365480286,3946,707
technical,bakan,34.05375836311024,2497,530
technical,kurum,29.02731747446379,1750,333
technical,özhaseki,26.863493602171832,1479,268
technical,stanbul,26.338506265612587,1351,182
technical,dönüşüm,25.72637490655101,1363,92
technical,konut,24.320739242576746,1154,112
technical,klim,22.438374912144177,1013,169
technical,şehircilik,21.88897804402446,972,168
technical,değişikliği,21.86916410391653,981,177
technical,kentsel,21.017937641429835,1094,40
technical,deprem,20.867643650404656,1462,557
technical,çevre,20.453444793247225,1112,334
technical,milyon,19.418129155658058,849,196
technical,bağımsız,18.28105533430901,739,38
technical,köy,16.45612230845737,530,73
technical,tespit,15.624690358542185,474,55
technical,yerinde,15.51333580421246,596,162
technical,hasar,15.222706712300075,549,139
technical,teslim,14.904488803127194,610,190
technical,murat,14.805674877223797,427,55
technical,toki,14.38902280779139,463,105
technical,konuştu,14.190429616155058,532,158
technical,inşa,13.602943310807158,751,328
technical,konutun,13.448653880223304,426,18
political,türkiye,16.671504722301158,3509,84
political,bakan,14.91300207497008,2925,87
political,stanbul,12.208899941064802,2030,21
political,özhaseki,11.672274902209946,1756,24
political,bugün,10.76772355030752,1468,35
political,büyük,10.618293570124974,2058,109
political,ediyorum,10.541409500772554,1409,34
political,birlikte,9.95486632963866,2070,124
political,sayın,9.699258945248964,1204,31
political,milyon,9.480574591882892,1313,51
political,burada,9.308061979189294,1213,43
political,aynı,9.2166329311087,1188,42
political,kentsel,9.14541930690923,1058,17
political,edeceğiz,9.066480320821132,1031,21
political,hep,9.01156099529959,1052,14
political,teslim,8.816889420759342,1003,27
political,millet,8.722347372127894,954,19
political,allah,8.70131790048161,1101,9
political,tek,8.681207908788089,1052,37
political,dönüşüm,8.384602180038845,1229,62
political,inşallah,8.08214401888815,998,7
political,ettik,7.96911138674627,798,17
political,yüzde,7.945921561585988,798,13
political,kez,7.889025645590956,781,16
political,yıl,7.861596256468365,1002,46
development,bin,18.965152107032456,4113,126
development,bakan,13.368434350907208,2429,115
development,stanbul,12.226350604862175,1787,22
development,kurum,10.853891906857001,1678,85
development,özhaseki,10.661865783165219,1475,64
development,konut,10.284196424057805,1280,15
development,dönüşüm,10.155510396440674,1346,12
development,milyon,9.643853195513772,1049,28
development,şehircilik,8.512569353863666,935,40
development,teslim,8.45992789091645,882,34
development,klim,8.437032625777368,924,40
development,inşa,8.293402147490681,1058,59
development,değişikliği,8.147782268851833,891,41
development,milyar,8.128805651678078,760,23
development,yerinde,7.968289515986102,713,18
development,kentsel,7.773737335172212,963,5
development,köy,7.283322218815148,599,16
development,çevre,7.272060688070182,1074,77
development,hak,6.901073097888617,590,23
development,yaptık,6.714978759319649,553,21
development,kardeşlerim,6.640681948203714,517,17
development,toki,6.629599552691665,522,18
development,şimdi,6.619884464149355,596,28
development,bağımsız,6.501831971448655,475,12
development,inşallah,6.4904407567461275,697,42
sustainability,yeşil,30.582457437507546,141,188
sustainability,atık,30.32664712478852,137,90
sustainability,sıfır,29.671176627853733,131,87
sustainability,klim,29.618521078946287,219,963
sustainability,çevre,28.37826947386327,233,1241
sustainability,iklim,28.1564856139436,124,61
sustainability,değişikliği,26.006995157389124,189,962
sustainability,bahçesi,25.077946909255676,95,127
sustainability,kli,20.711855349022663,63,63
sustainability,millet,20.12998187947991,130,775
sustainability,bakan,18.207726756948365,237,2787
sustainability,özhaseki,17.89104142015909,162,1482
sustainability,deniz,17.867660701415268,52,96
sustainability,hava,17.311775230815073,64,219
sustainability,enerji,16.895926975871298,51,122
sustainability,eylem,16.71688409869052,41,39
sustainability,temiz,16.488603384871023,40,41
sustainability,akıllı,16.08796901758614,38,37
sustainability,ton,16.08121490999835,39,51
sustainability,varank,15.819769132653489,37,27
sustainability,milyon,15.488006179381845,125,1168
sustainability,uyum,15.222829976531495,34,29
sustainability,deği,15.136854708669402,34,39
sustainability,şehircilik,15.12534267499717,112,995
sustainability,ulusal,14.911668683567752,36,65
