event,frame,DiD_simple,DiD_coef,DiD_se,DiD_p,n
Pres. election (May 2023),technical,0.3233751269153644,0.3233751269153598,0.08564488029346133,0.00016765414516950667,1156
Pres. election (May 2023),political,0.046949570876830826,0.04694957087682976,0.10062201935613121,0.6408790268207407,1156
Pres. election (May 2023),development,0.08573405588871519,0.08573405588871014,0.07148563877475879,0.23065070384307423,1156
Pres. election (May 2023),sustainability,-0.062187805971505694,-0.06218780597150567,0.05761411545903207,0.2806421177274713,1156
Local election (Mar 2024),technical,0.8291234384194828,0.8291234384194865,0.15740824704367995,2.1263120105610435e-07,466
Local election (Mar 2024),political,-0.32342431758847046,-0.32342431758846996,0.1616214238324602,0.04596361407561909,466
Local election (Mar 2024),development,0.08995333910452352,0.08995333910452596,0.12180678975557818,0.46059050747860186,466
Local election (Mar 2024),sustainability,0.43262791078377133,0.43262791078377333,0.1325039888296026,0.0011758994501923311,466
Quake anniversary (Feb 2024),technical,0.22864415167207575,0.22864415167207566,0.12797103169287458,0.07459874107399521,500
Quake anniversary (Feb 2024),political,-0.3005034530653383,-0.3005034530653385,0.12490018929426405,0.016495426124614323,500
Quake anniversary (Feb 2024),development,-0.1759440004139794,-0.17594400041397965,0.09312832629912746,0.05943947388633493,500
Quake anniversary (Feb 2024),sustainability,0.2285876944312944,0.2285876944312942,0.11448334200849007,0.04640494833351376,500
