group_type,group,frame,rank,tfidf,distilbert
period,1_post_quake,technical,1,inşa,zemin
period,1_post_quake,technical,2,kentsel,bi̇na
period,1_post_quake,technical,3,şekilde,i̇lleri̇mi̇zde
period,1_post_quake,technical,4,konut,etki̇lenen
period,1_post_quake,technical,5,deprem,felaketi
period,1_post_quake,technical,6,hasar,ihya
period,1_post_quake,technical,7,köy,inşa
period,1_post_quake,technical,8,çalışmaları,karadan
period,1_post_quake,technical,9,afet,ağir
period,1_post_quake,technical,10,dönüşüm,depremler
period,1_post_quake,political,1,allah,töreni
period,1_post_quake,political,2,deprem,depremzede
period,1_post_quake,political,3,inşallah,cumhuri̇yet
period,1_post_quake,political,4,bugün,konutunun
period,1_post_quake,political,5,eden,toplantısı
period,1_post_quake,political,6,birlikte,töreninde
period,1_post_quake,political,7,parti,konut
period,1_post_quake,political,8,dedi,konutun
period,1_post_quake,political,9,araya,ni̇san
period,1_post_quake,political,10,şehircilik,kardeşleri̇mi̇ze
period,1_post_quake,development,1,geçici,ulaştırma
period,1_post_quake,development,2,inşa,gençler
period,1_post_quake,development,3,geçici barınma,incelemelerde
period,1_post_quake,development,4,konut,sultanbeyli
period,1_post_quake,development,5,barınma,depremzedelerin
period,1_post_quake,development,6,afet,i̇nsanları
period,1_post_quake,development,7,ayağa,inşası
period,1_post_quake,development,8,ediyor,merkezimiz
period,1_post_quake,development,9,11,yapımı
period,1_post_quake,development,10,şehrin,sevgili
period,1_post_quake,sustainability,1,çevre,dirençli
period,1_post_quake,sustainability,2,klim,yarışır
period,1_post_quake,sustainability,3,temizlik,hasarlı
period,1_post_quake,sustainability,4,zmir,altyapısının
period,1_post_quake,sustainability,5,atık,bankası
period,1_post_quake,sustainability,6,alan,merkezimiz
period,1_post_quake,sustainability,7,çalışmalar,risk
period,1_post_quake,sustainability,8,olacak,stratejik
period,1_post_quake,sustainability,9,yaptık,merkezi
period,1_post_quake,sustainability,10,yeşil,enerji
period,2_pres_campaign,technical,1,kentsel,planını
period,2_pres_campaign,technical,2,dönüşüm,imar
period,2_pres_campaign,technical,3,inşa,millet
period,2_pres_campaign,technical,4,kentsel dönüşüm,i̇mar
period,2_pres_campaign,technical,5,riskli,sanayi̇
period,2_pres_campaign,technical,6,konut,alanlar
period,2_pres_campaign,technical,7,imar,kira
period,2_pres_campaign,technical,8,deprem,kentsel
period,2_pres_campaign,technical,9,şekilde,kampanyamiza
period,2_pres_campaign,technical,10,yapıyoruz,riskli
