group_type,group,frame,rank,word,mean_saliency,doc_count
period,1_post_quake,technical,1,zemin,0.0164,2
period,1_post_quake,technical,2,bi̇na,0.01489,2
period,1_post_quake,technical,3,i̇lleri̇mi̇zde,0.01455,2
period,1_post_quake,technical,4,etki̇lenen,0.00856,2
period,1_post_quake,technical,5,felaketi,0.00793,2
period,1_post_quake,technical,6,ihya,0.00759,2
period,1_post_quake,technical,7,inşa,0.00701,3
period,1_post_quake,technical,8,karadan,0.00666,3
period,1_post_quake,technical,9,ağir,0.00632,4
period,1_post_quake,technical,10,depremler,0.00602,2
period,1_post_quake,technical,11,yikilacak,0.00578,2
period,1_post_quake,technical,12,depremlerden,0.00573,4
period,1_post_quake,technical,13,fay,0.00557,2
period,1_post_quake,technical,14,yerleşim,0.00524,2
period,1_post_quake,technical,15,aci̇l,0.00521,4
period,1_post_quake,technical,16,bilgi,0.00504,2
period,1_post_quake,technical,17,kamu,0.0046,2
period,1_post_quake,technical,18,bi̇n,0.00411,8
period,1_post_quake,technical,19,bölümden,0.00408,3
period,1_post_quake,technical,20,alan,0.00399,6
period,1_post_quake,political,1,töreni,0.01833,2
period,1_post_quake,political,2,depremzede,0.01573,2
period,1_post_quake,political,3,cumhuri̇yet,0.01457,2
period,1_post_quake,political,4,konutunun,0.01221,2
period,1_post_quake,political,5,toplantısı,0.01216,2
period,1_post_quake,political,6,töreninde,0.01213,3
period,1_post_quake,political,7,konut,0.01201,9
period,1_post_quake,political,8,konutun,0.01097,6
period,1_post_quake,political,9,ni̇san,0.00942,2
period,1_post_quake,political,10,kardeşleri̇mi̇ze,0.00764,2
period,1_post_quake,political,11,yilda,0.0074,2
period,1_post_quake,political,12,toki̇,0.00704,4
period,1_post_quake,political,13,i̇daresi,0.00655,2
period,1_post_quake,political,14,bakanlığı,0.00614,2
period,1_post_quake,political,15,zamanli,0.00613,2
period,1_post_quake,political,16,konutlarimizi,0.00579,3
period,1_post_quake,political,17,yeni,0.00551,3
period,1_post_quake,political,18,kentsel,0.00535,5
period,1_post_quake,political,19,ayağa,0.00532,3
period,1_post_quake,political,20,kardeşleri̇mi̇zi̇n,0.00527,2
period,1_post_quake,development,1,ulaştırma,0.02052,2
period,1_post_quake,development,2,gençler,0.01524,3
period,1_post_quake,development,3,incelemelerde,0.01465,2
period,1_post_quake,development,4,sultanbeyli,0.01121,3
period,1_post_quake,development,5,depremzedelerin,0.01097,4
period,1_post_quake,development,6,i̇nsanları,0.0087,3
period,1_post_quake,development,7,inşası,0.00831,4
period,1_post_quake,development,8,merkezimiz,0.00803,2
period,1_post_quake,development,9,yapımı,0.00789,2
period,1_post_quake,development,10,sevgili,0.00779,5
period,1_post_quake,development,11,altyapı,0.00768,2
period,1_post_quake,development,12,toplantıda,0.00752,2
period,1_post_quake,development,13,sizleri,0.00688,8
period,1_post_quake,development,14,yarışır,0.0061,2
period,1_post_quake,development,15,kıymetli,0.006,10
period,1_post_quake,development,16,finans,0.00595,5
period,1_post_quake,development,17,toki̇,0.00582,3
period,1_post_quake,development,18,prefabrik,0.00547,6
period,1_post_quake,development,19,esnafın,0.00542,2
period,1_post_quake,development,20,toplantısını,0.0054,2
period,1_post_quake,sustainability,1,dirençli,0.01149,2
period,1_post_quake,sustainability,2,yarışır,0.01078,2
period,1_post_quake,sustainability,3,hasarlı,0.00857,2
period,1_post_quake,sustainability,4,altyapısının,0.00809,2
period,1_post_quake,sustainability,5,bankası,0.0076,2
period,1_post_quake,sustainability,6,merkezimiz,0.00633,2
period,1_post_quake,sustainability,7,risk,0.00549,3
period,1_post_quake,sustainability,8,stratejik,0.00539,2
period,1_post_quake,sustainability,9,merkezi,0.00501,2
period,1_post_quake,sustainability,10,enerji,0.00465,2
period,1_post_quake,sustainability,11,temsilcileri,0.00456,2
period,1_post_quake,sustainability,12,çalışanları,0.00455,3
period,1_post_quake,sustainability,13,ilde,0.00426,2
period,1_post_quake,sustainability,14,nisan,0.00377,2
period,1_post_quake,sustainability,15,eliyle,0.00347,2
period,1_post_quake,sustainability,16,yer,0.00338,2
period,1_post_quake,sustainability,17,hariç,0.00312,2
period,1_post_quake,sustainability,18,erişimini,0.00303,2
period,1_post_quake,sustainability,19,saygıdeğer,0.00279,3
period,1_post_quake,sustainability,20,sizleri,0.00251,5
period,2_pres_campaign,technical,1,planını,0.02178,2
period,2_pres_campaign,technical,2,imar,0.02052,2
period,2_pres_campaign,technical,3,millet,0.0201,2
period,2_pres_campaign,technical,4,i̇mar,0.01557,2
period,2_pres_campaign,technical,5,sanayi̇,0.01176,2
period,2_pres_campaign,technical,6,alanlar,0.011,2
period,2_pres_campaign,technical,7,kira,0.01043,4
period,2_pres_campaign,technical,8,kentsel,0.00976,6
period,2_pres_campaign,technical,9,kampanyamiza,0.00861,3
period,2_pres_campaign,technical,10,riskli,0.00818,2
period,2_pres_campaign,technical,11,kampanyasina,0.00735,2
period,2_pres_campaign,technical,12,bina,0.00733,2
period,2_pres_campaign,technical,13,dönüşümde,0.00497,2
period,2_pres_campaign,technical,14,yaptı,0.00493,4
period,2_pres_campaign,technical,15,nde,0.00405,3
period,2_pres_campaign,technical,16,yapı,0.00396,3
period,2_pres_campaign,technical,17,konutun,0.00374,3
period,2_pres_campaign,technical,18,yayınında,0.00307,3
period,2_pres_campaign,technical,19,başvuru,0.0028,12
period,2_pres_campaign,technical,20,dönüşümü,0.00269,3
period,2_pres_campaign,political,1,mensupları,0.01906,2
period,2_pres_campaign,political,2,borsalar,0.01682,2
period,2_pres_campaign,political,3,saygıdeğer,0.01383,4
period,2_pres_campaign,political,4,bayramı,0.01251,2
period,2_pres_campaign,political,5,i̇ttifakı,0.01235,2
period,2_pres_campaign,political,6,aziz,0.0115,2
period,2_pres_campaign,political,7,kardeşlerim,0.01135,5
period,2_pres_campaign,political,8,kıymetli,0.01132,7
period,2_pres_campaign,political,9,kuruluş,0.01003,2
period,2_pres_campaign,political,10,sizleri,0.0092,8
period,2_pres_campaign,political,11,görevli,0.00919,2
period,2_pres_campaign,political,12,bağımsız,0.00864,4
period,2_pres_campaign,political,13,güçlü,0.00817,2
period,2_pres_campaign,political,14,kuruluşlarımızın,0.00779,2
period,2_pres_campaign,political,15,kampanyamiza,0.00769,2
period,2_pres_campaign,political,16,severiz,0.00748,2
period,2_pres_campaign,political,17,cumhur,0.00672,2
period,2_pres_campaign,political,18,bölümden,0.0067,2
period,2_pres_campaign,political,19,birliği,0.00612,2
period,2_pres_campaign,political,20,mahalle,0.00605,3
period,2_pres_campaign,development,1,tahsisi,0.01946,2
period,2_pres_campaign,development,2,sokak,0.0132,2
period,2_pres_campaign,development,3,planını,0.01271,2
period,2_pres_campaign,development,4,muzda,0.0106,2
period,2_pres_campaign,development,5,borsalar,0.01035,2
period,2_pres_campaign,development,6,sizleri,0.01027,2
period,2_pres_campaign,development,7,millet,0.0097,4
period,2_pres_campaign,development,8,bölüm,0.00941,2
period,2_pres_campaign,development,9,geldi,0.00661,2
period,2_pres_campaign,development,10,duygularımla,0.00568,2
period,2_pres_campaign,development,11,bizden,0.00567,3
period,2_pres_campaign,development,12,kampanyasina,0.00551,2
period,2_pres_campaign,development,13,kura,0.00541,4
period,2_pres_campaign,development,14,tamamlandı,0.00483,2
period,2_pres_campaign,development,15,yarısı,0.00477,2
period,2_pres_campaign,development,16,havalimanı,0.00467,2
period,2_pres_campaign,development,17,çarşıları,0.00373,2
period,2_pres_campaign,development,18,200,0.00373,2
period,2_pres_campaign,development,19,dönüşüm,0.00371,3
period,2_pres_campaign,development,20,ilçelerimizde,0.00362,2
period,2_pres_campaign,sustainability,1,bahçesi,0.02178,2
period,2_pres_campaign,sustainability,2,depremde,0.01467,3
period,2_pres_campaign,sustainability,3,vatandaşımız,0.00835,2
period,2_pres_campaign,sustainability,4,kirişci,0.00832,3
period,2_pres_campaign,sustainability,5,planını,0.00774,2
period,2_pres_campaign,sustainability,6,temi̇z,0.00732,2
period,2_pres_campaign,sustainability,7,bölüm,0.00725,5
period,2_pres_campaign,sustainability,8,gençlerle,0.00705,2
period,2_pres_campaign,sustainability,9,risk,0.00671,2
period,2_pres_campaign,sustainability,10,sokak,0.00582,2
period,2_pres_campaign,sustainability,11,ilde,0.0054,2
period,2_pres_campaign,sustainability,12,yayımladı,0.00451,2
period,2_pres_campaign,sustainability,13,vatandaşımızın,0.00379,2
period,2_pres_campaign,sustainability,14,elbistan,0.00365,2
period,2_pres_campaign,sustainability,15,210,0.0036,2
period,2_pres_campaign,sustainability,16,nde,0.00346,5
period,2_pres_campaign,sustainability,17,bizden,0.00341,10
period,2_pres_campaign,sustainability,18,500,0.00331,2
period,2_pres_campaign,sustainability,19,yarısı,0.00322,10
period,2_pres_campaign,sustainability,20,parti,0.00321,2
period,3_inter_election,technical,1,teslim,0.00924,2
period,3_inter_election,technical,2,güvenli,0.00918,6
period,3_inter_election,technical,3,ortaya,0.00819,2
period,3_inter_election,technical,4,sağlam,0.00708,2
period,3_inter_election,technical,5,inşa,0.00666,2
period,3_inter_election,technical,6,şehirlerin,0.00603,2
period,3_inter_election,technical,7,medya,0.00495,2
period,3_inter_election,technical,8,dönüşümün,0.00445,2
period,3_inter_election,technical,9,yol,0.00421,2
period,3_inter_election,technical,10,sektör,0.00385,2
period,3_inter_election,technical,11,yeniden,0.00375,2
period,3_inter_election,technical,12,koyduğu,0.00375,2
period,3_inter_election,technical,13,hızla,0.00373,2
period,3_inter_election,technical,14,sayin,0.00368,2
period,3_inter_election,technical,15,stokunu,0.00366,2
period,3_inter_election,technical,16,yapılan,0.00349,3
period,3_inter_election,technical,17,malatya,0.00331,2
period,3_inter_election,technical,18,yılında,0.00296,2
period,3_inter_election,technical,19,karşı,0.00287,2
period,3_inter_election,technical,20,riskli,0.00283,3
period,3_inter_election,political,1,bahçesi,0.02082,2
period,3_inter_election,political,2,saracağiz,0.01675,2
period,3_inter_election,political,3,çocuğunu,0.0166,2
period,3_inter_election,political,4,i̇nşallah,0.01221,5
period,3_inter_election,political,5,cumhurbaşkanımızın,0.01073,3
period,3_inter_election,political,6,meteoroloji,0.0106,2
period,3_inter_election,political,7,afet,0.01049,2
period,3_inter_election,political,8,ziyaretlerde,0.00891,2
period,3_inter_election,political,9,kayseri̇,0.00781,2
period,3_inter_election,political,10,forumu,0.00716,2
period,3_inter_election,political,11,etti,0.00675,2
period,3_inter_election,political,12,inşaatımız,0.00649,2
period,3_inter_election,political,13,1994,0.00625,2
period,3_inter_election,political,14,canli,0.00531,2
period,3_inter_election,political,15,bölgesinde,0.00524,2
period,3_inter_election,political,16,ilimize,0.00502,2
period,3_inter_election,political,17,vahit,0.00484,2
period,3_inter_election,political,18,yerde,0.00483,2
period,3_inter_election,political,19,ele,0.00466,2
period,3_inter_election,political,20,katildi,0.00415,3
period,3_inter_election,development,1,avcılık,0.02831,2
period,3_inter_election,development,2,1620,0.01439,2
period,3_inter_election,development,3,etap,0.01314,2
period,3_inter_election,development,4,tesisleri,0.01196,3
period,3_inter_election,development,5,tamamlandı,0.01097,2
period,3_inter_election,development,6,projesi,0.01064,2
period,3_inter_election,development,7,incelemelerde,0.00912,2
period,3_inter_election,development,8,sizleri,0.00737,7
period,3_inter_election,development,9,merkezimizde,0.00645,2
period,3_inter_election,development,10,bulundu,0.00589,3
period,3_inter_election,development,11,açılışını,0.00571,3
period,3_inter_election,development,12,incelemek,0.00566,2
period,3_inter_election,development,13,inşası,0.00529,3
period,3_inter_election,development,14,bakanlığımızın,0.00519,3
period,3_inter_election,development,15,yıl,0.00518,3
period,3_inter_election,development,16,cam,0.00514,3
period,3_inter_election,development,17,borsa,0.00506,2
period,3_inter_election,development,18,doğrultusunda,0.00473,2
period,3_inter_election,development,19,inşa,0.00471,4
period,3_inter_election,development,20,düzenlenen,0.00433,2
period,3_inter_election,sustainability,1,konferansı,0.01089,2
period,3_inter_election,sustainability,2,karbon,0.01062,2
period,3_inter_election,sustainability,3,çevresel,0.0095,3
period,3_inter_election,sustainability,4,şehi̇rci̇li̇k,0.00709,3
period,3_inter_election,sustainability,5,başkani,0.00625,2
period,3_inter_election,sustainability,6,yeşi̇l,0.00624,3
period,3_inter_election,sustainability,7,sertifika,0.00471,2
period,3_inter_election,sustainability,8,planı,0.0047,2
period,3_inter_election,sustainability,9,stratejisi,0.00466,3
period,3_inter_election,sustainability,10,cop28,0.00455,2
period,3_inter_election,sustainability,11,nehri,0.00447,2
period,3_inter_election,sustainability,12,toplantıda,0.00447,4
period,3_inter_election,sustainability,13,düşen,0.00436,3
period,3_inter_election,sustainability,14,teknofest,0.00433,3
period,3_inter_election,sustainability,15,şehi̇rler,0.00428,2
