group_type,group,frame,rank,word,contribution
period,1_post_quake,technical,1,inşa,0.0064
period,1_post_quake,technical,2,kentsel,0.0044
period,1_post_quake,technical,3,şekilde,0.0041
period,1_post_quake,technical,4,konut,0.004
period,1_post_quake,technical,5,deprem,0.004
period,1_post_quake,technical,6,hasar,0.0039
period,1_post_quake,technical,7,köy,0.0034
period,1_post_quake,technical,8,çalışmaları,0.0033
period,1_post_quake,technical,9,afet,0.0032
period,1_post_quake,technical,10,dönüşüm,0.0031
period,1_post_quake,technical,11,zemin,0.003
period,1_post_quake,technical,12,acil,0.003
period,1_post_quake,technical,13,su,0.003
period,1_post_quake,technical,14,toplamda,0.003
period,1_post_quake,technical,15,çalışmalar,0.0029
period,1_post_quake,technical,16,kentsel dönüşüm,0.0028
period,1_post_quake,technical,17,şehrin,0.0027
period,1_post_quake,technical,18,şehircilik,0.0026
period,1_post_quake,technical,19,11,0.0025
period,1_post_quake,technical,20,süreci,0.0024
period,1_post_quake,political,1,allah,0.0039
period,1_post_quake,political,2,deprem,0.0037
period,1_post_quake,political,3,inşallah,0.0033
period,1_post_quake,political,4,bugün,0.0032
period,1_post_quake,political,5,eden,0.0031
period,1_post_quake,political,6,birlikte,0.0029
period,1_post_quake,political,7,parti,0.0029
period,1_post_quake,political,8,dedi,0.0029
period,1_post_quake,political,9,araya,0.0027
period,1_post_quake,political,10,şehircilik,0.0027
period,1_post_quake,political,11,çevre şehircilik,0.0025
period,1_post_quake,political,12,ayağa,0.0025
period,1_post_quake,political,13,ak parti,0.0023
period,1_post_quake,political,14,11,0.0022
period,1_post_quake,political,15,söz,0.0022
period,1_post_quake,political,16,millet,0.0022
period,1_post_quake,political,17,ak,0.0022
period,1_post_quake,political,18,afet,0.0021
period,1_post_quake,political,19,devlet,0.0021
period,1_post_quake,political,20,kalıcı,0.002
period,1_post_quake,development,1,geçici,0.0081
period,1_post_quake,development,2,inşa,0.0068
period,1_post_quake,development,3,geçici barınma,0.0047
period,1_post_quake,development,4,konut,0.0046
period,1_post_quake,development,5,barınma,0.0042
period,1_post_quake,development,6,afet,0.0037
period,1_post_quake,development,7,ayağa,0.0037
period,1_post_quake,development,8,ediyor,0.0033
period,1_post_quake,development,9,11,0.0032
period,1_post_quake,development,10,şehrin,0.0032
period,1_post_quake,development,11,devam ediyor,0.0031
period,1_post_quake,development,12,toki,0.003
period,1_post_quake,development,13,iş,0.0028
period,1_post_quake,development,14,teslim,0.0028
period,1_post_quake,development,15,devam,0.0028
period,1_post_quake,development,16,alan,0.0028
period,1_post_quake,development,17,deprem,0.0027
period,1_post_quake,development,18,konteyner,0.0026
period,1_post_quake,development,19,depremin,0.0026
period,1_post_quake,development,20,yaşam,0.0025
period,1_post_quake,sustainability,1,çevre,0.0051
period,1_post_quake,sustainability,2,klim,0.003
period,1_post_quake,sustainability,3,temizlik,0.0026
period,1_post_quake,sustainability,4,zmir,0.0017
period,1_post_quake,sustainability,5,atık,0.0017
period,1_post_quake,sustainability,6,alan,0.0015
period,1_post_quake,sustainability,7,çalışmalar,0.0014
period,1_post_quake,sustainability,8,olacak,0.0014
period,1_post_quake,sustainability,9,yaptık,0.0014
period,1_post_quake,sustainability,10,yeşil,0.0014
period,1_post_quake,sustainability,11,klim değişikliği,0.0014
period,1_post_quake,sustainability,12,in,0.0013
period,1_post_quake,sustainability,13,su,0.0013
period,1_post_quake,sustainability,14,değişikliği,0.0013
period,1_post_quake,sustainability,15,dedi,0.0013
period,1_post_quake,sustainability,16,bahçesi,0.0013
period,1_post_quake,sustainability,17,yaşam,0.0012
period,1_post_quake,sustainability,18,yüzde,0.0012
period,1_post_quake,sustainability,19,koruma,0.0011
period,1_post_quake,sustainability,20,gelen,0.0011
period,2_pres_campaign,technical,1,kentsel,0.008
period,2_pres_campaign,technical,2,dönüşüm,0.0058
period,2_pres_campaign,technical,3,inşa,0.0044
period,2_pres_campaign,technical,4,kentsel dönüşüm,0.0043
period,2_pres_campaign,technical,5,riskli,0.004
period,2_pres_campaign,technical,6,konut,0.0039
period,2_pres_campaign,technical,7,imar,0.0038
period,2_pres_campaign,technical,8,deprem,0.0035
period,2_pres_campaign,technical,9,şekilde,0.0035
period,2_pres_campaign,technical,10,yapıyoruz,0.0033
period,2_pres_campaign,technical,11,bağımsız,0.0032
period,2_pres_campaign,technical,12,su,0.0029
period,2_pres_campaign,technical,13,toplamda,0.0029
period,2_pres_campaign,technical,14,şehrin,0.0028
period,2_pres_campaign,technical,15,şehircilik,0.0027
period,2_pres_campaign,technical,16,çevre şehircilik,0.0023
period,2_pres_campaign,technical,17,süreci,0.0023
period,2_pres_campaign,technical,18,klim,0.0022
period,2_pres_campaign,technical,19,11,0.0022
period,2_pres_campaign,technical,20,köy,0.0022
period,2_pres_campaign,political,1,dedi,0.004
period,2_pres_campaign,political,2,araya,0.0039
period,2_pres_campaign,political,3,parti,0.0037
period,2_pres_campaign,political,4,kentsel,0.0035
period,2_pres_campaign,political,5,millet,0.0034
period,2_pres_campaign,political,6,bugün,0.0034
period,2_pres_campaign,political,7,söz,0.0033
period,2_pres_campaign,political,8,deprem,0.0032
period,2_pres_campaign,political,9,eden,0.003
