date,title,teaser,url,detail_title,full_text
22.08.2025,2025 Yılı Genel Değerlendirme Toplantısı,,https://www.adiyaman.gov.tr/2025-yili-genel-degerlendirme-toplantisi,Teknik olarak web sitemizde kullanılan çerez türleri aşağıdaki tabloda gösterilmektedir.,
09.01.2025,Valimiz Sayın Dr. Osman Varol’un “10 Ocak Çalışan Gazeteciler Günü” Mesajı…,,https://www.adiyaman.gov.tr/valimiz-sayin-dr-osman-varolun-10-ocak-calisan-gazeteciler-gunu-mesaji,Teknik olarak web sitemizde kullanılan çerez türleri aşağıdaki tabloda gösterilmektedir.,"İletişim çağının hayatımızın her noktasına sirayet ettiği günümüzde milletimizin ortak sesi olmanın ötesinde kamuoyunun vicdanını temsil eden tüm basın mensuplarımızın 10 Ocak Çalışan Gazeteciler Günü'nü en içten dileklerimle kutluyorum.

Bilginin her geçen gün katlanarak çoğaldığı ve teknolojinin takip edilmesinin hızla geliştiği günümüzde başta internet ve sosyal medya olmak üzere bilgiye ve habere erişimin çeşitlendiği ve kolaylaştığı günümüz dünyasında, toplumda bilgi kirliliğine ve algı amaçlı yanlış yönlendirmelere yol açabilecek olumsuzlukları da beraberinde getiren bu gelişmeler karşısında basın çalışanlarımızın sorumlulukları daha da artmıştır. Basınımızın ilkeli habercilik anlayışı içerisinde, toplumsal hassasiyetleri de dikkate alarak, kamuoyunu doğru ve tarafsız bilgilendirme görevini layıkıyla yerine getireceğine inanıyoruz.

Adıyaman Valiliği olarak mesleğini büyük bir sorumluluk hissiyatıyla yerine getiren, mesai mefhumu gözetmeksizin zorlu şartlar altında haber peşinde koşan basın emekçilerimizin çalışmalarını daha iyi koşullarda ve daha verimli bir şekilde yapabilmelerine büyük önem veriyor bunu sağlamak için üzerimize düşen sorumlulukları yerine getirmeye gayret ediyoruz.

Adıyaman'ımızın sorunlarını ve ihtiyaçlarını kamuoyuna aktaran ve sorunların çözümünde önerileriyle toplumdaki mekanizmanın daha sağlıklı bir şekilde çalışmasına yardımcı olan milletimizin adeta gören gözü, işiten kulağı olan gazetecilerimizin bu görevi yerine getirmede gösterdikleri fedakârlık ve gayretlerini takdirle karşılıyorum.

Bu duygu ve düşüncelerle, yaşadığımız deprem afetinde hayatını kaybeden basın şehitlerimize Allah'tan rahmet, yakınlarına ve basın camiasına başsağlığı ve sabır diliyorum. Çalışma arkadaşlarım olarak gördüğüm yerel ve yaygın basınımızın değerli temsilcilerinin ""10 Ocak Çalışan Gazeteciler Günü""nü kutluyor; kendilerine ve ailelerine sağlık, mutluluk ve başarılar diliyorum."
02.12.2024,Valimiz Sayın Dr. Osman Varol’un “3 Aralık Dünya Engelliler Günü” Mesajı,,https://www.adiyaman.gov.tr/valimiz-sayin-dr-osman-varolun-3-aralik-dunya-engelliler-gunu-mesaji,Teknik olarak web sitemizde kullanılan çerez türleri aşağıdaki tabloda gösterilmektedir.,
24.11.2024,Valimiz Sayın Dr. Osman Varol’un “24 Kasım Öğretmenler Günü Mesajı”,,https://www.adiyaman.gov.tr/valimiz-sayin-dr-osman-varolun-24-kasim-ogretmenler-gunu-mesaji,Teknik olarak web sitemizde kullanılan çerez türleri aşağıdaki tabloda gösterilmektedir.,
09.11.2024,VALİMİZ SAYIN DR. OSMAN VAROL’UN 10 KASIM ATATÜRK’Ü ANMA MESAJI,,https://www.adiyaman.gov.tr/valimiz-sayin-dr-osman-varolun-10-kasim-ataturku-anma-mesaji,Teknik olarak web sitemizde kullanılan çerez türleri aşağıdaki tabloda gösterilmektedir.,
29.10.2024,Bağımsızlığımızın Simgesi Cumhuriyetimiz 101 Yaşında,,https://www.adiyaman.gov.tr/bagimsizligimizin-simgesi-cumhuriyetimiz-101-yasinda,Teknik olarak web sitemizde kullanılan çerez türleri aşağıdaki tabloda gösterilmektedir.,
29.08.2024,Valimiz Sayın Dr. Osman Varol’un “30 Ağustos Zafer Bayramı” Mesajı…,,https://www.adiyaman.gov.tr/valimiz-sayin-dr-osman-varolun-30-agustos-zafer-bayrami-mesaji,Teknik olarak web sitemizde kullanılan çerez türleri aşağıdaki tabloda gösterilmektedir.,"Şanlı zaferler ve eşsiz kahramanlıklarla maruf bir tarihi, yarınlara onurlu bir miras olarak bırakan aziz ceddimizin, vatanımızın bağımsızlığını tüm dünyaya bir kez daha haykırdığı Başkomutanlık Meydan Muharebesi’nin 102. yıl dönümünü kutlamanın onur ve gurunu yaşıyoruz.

Aziz Milletimizin Büyük ve Güçlü Türkiye yürüyüşünde en büyük ilham kaynaklarından biri olan Büyük Taarruz’un zaferle sonuçlandığı ağustos ayının son haftasını “Zafer Haftası” olarak büyük bir gururla kutlamaktayız.

30 Ağustos’ta kazanılan bu destansı zaferle milletimiz, kendisine reva görülen esaret gömleğini yırtıp atmış, ne pahasına olursa olsun bağımsızlığından taviz vermeyeceğini tüm dünyaya ilan etmiştir. Son devletimiz Türkiye Cumhuriyeti'nin de müjdesi olan Büyük Zafer, tarihten silinmek istenen Türk milletinin yeniden şahlanışının adıdır.

Tarihimizin en önemli dönüm noktası ve milletimizin hürriyet ve bağımsızlık fikrinin ölmez bir abidesi olarak tarihteki yerini alan 30 Ağustos Zaferi, aynı zamanda bağımsız yaşamak isteyen birçok ulusa da yol göstermiştir. Bugün böylesi şanlı bir tarihin mirasçıları olan bizlere düşen en önemli görev aynı şuur ve ruhla, ecdadımızın emaneti vatanımıza ve Cumhuriyetimize sahip çıkmak, ülkemizin gelişmesi için var gücümüzle çalışmaktır.

Milletimiz dün olduğu gibi bugün de geçmişten aldığı ilhamla bu mukaddes emanetin sorumluluğunu milli birlik ve beraberlik şuuru içinde hür ve bağımsız yaşama kararlılığını ilelebet sürdürecek, bu topraklar üzerinde Türkiye Cumhuriyeti sonsuza kadar var olacak ve ay-yıldızlı bayrağımız ilelebet dalgalanacaktır.

Bu duygu ve düşüncelerle, Cumhuriyetimizin banisi Gazi Mustafa Kemal Atatürk’ü rahmet ve minnetle yad ediyor, kanlarıyla destan, cesaretleriyle tarih yazarak bizlere bu toprakları vatan bırakan tüm şehitlerimize Allah’tan rahmet diliyor, gazilerimizi saygı ve minnetle anıyorum. Türk Silahlı Kuvvetlerimizin kahraman mensuplarının ve Adıyamanlı hemşehrilerimin Zafer Bayramı’nı kutluyor saygı ve sevgilerimi sunuyorum."
03.08.2024,KENT MEYDANI VE ÇEVRESİ KENTSEL DÜZENLEME PROJESİ,,https://www.adiyaman.gov.tr/kent-meydani-ve-cevresi-kentsel-duzenleme-projesi,Teknik olarak web sitemizde kullanılan çerez türleri aşağıdaki tabloda gösterilmektedir.,
26.07.2024,"Vali Dr. Osman Varol, Kalıcı Deprem Konutları ve Kamu Yatırımlarını Değerlendirdi",,https://www.adiyaman.gov.tr/vali-dr-osman-varol-kalici-deprem-konutlari-ve-kamu-yatirimlarini-degerlendirdi,Teknik olarak web sitemizde kullanılan çerez türleri aşağıdaki tabloda gösterilmektedir.,
14.07.2024,"Valimiz Sayın Dr. Osman Varol’un “15 Temmuz Şehitleri Anma, Demokrasi ve Milli Birlik Günü” Mesajı.",,https://www.adiyaman.gov.tr/valimiz-sayin-dr-osman-varolun-15-temmuz-sehitleri-anma-demokrasi-ve-milli-birlik-gunu-mesaji,Teknik olarak web sitemizde kullanılan çerez türleri aşağıdaki tabloda gösterilmektedir.,
