date,title,url,detail_title,full_text,date_text
2026-04-04,"HATAYBOT’TA FİNAL TAMAMLANDI, ÖDÜLLER SAHİPLERİNİ BULDU",https://hatay.bel.tr/haberler/hataybotta-final-tamamlandi-oduller-sahiplerini-buldu,"HATAYBOT’TA FİNAL TAMAMLANDI, ÖDÜLLER SAHİPLERİNİ BULDU","Hatay Valiliği, Hatay Büyükşehir Belediyesi (HBB) ve Hatay İl Milli Eğitim Müdürlüğü iş birliğiyle bu yıl ikincisi düzenlenen Hatay Robot Yarışması büyük bir heyecanın ardından tamamlandı.

Merkez Kapalı Spor Salonu’nda gerçekleştirilen final törenine Hatay Valisi Mustafa Masatlı, HBB Genel Sekreter Yardımcısı Uğur Kandemir, İl Milli Eğitim Müdürü Harun Tüysüz, kurum müdürleri, sivil toplum kuruluşu temsilcileri ve çok sayıda vatandaş katıldı.

2-3-4 Nisan tarihlerinde gerçekleştirilen final etabında öğrenciler projelerini jüriye sunarak kıyasıya yarıştı. Yarışmaya toplam 1540 takım ve 4067 öğrenci ile öğretmen katılım sağladı.

Öğrencilerin teknoloji üretme becerilerini geliştirmeyi ve bölgedeki bilim ekosistemini güçlendirmeyi hedefleyen yarışmada, finale kalan projeler arasından dereceye girenler yapılan değerlendirmeler sonucunda belirlendi.

Aralık 2025’te kurulan Hatay Bilim Merkezi, HatayBot yarışmasında gösterdiği başarıyla dikkat çekerek, 4067 öğrencinin arasından ilkokul Mucit kategorisinde hem birincilik hem de ikincilik ödülünü kazanarak büyük takdir topladı.

Yarışma sonucunda Mucit kategorisinde dereceye giren projeler de netleşti. Buna göre, HBB Hatay Bilim Merkezi bünyesinde geliştirilen “Akıllı Yatak Sistemi” birincilik ödülünü kazanırken, HBB Hatay Bilim Merkezi tarafından hazırlanan “Hayat Kurtarıcı Akıllı Gaz Sistemi” ise ikincilik ödülüne layık görüldü.

HBB İnsan Kaynakları ve Eğitim Dairesi Başkanlığına bağlı olarak faaliyetlerini sürdüren Hatay Bilim Merkezi’nin elde ettiği bu çifte başarı, gençlerin bilim ve teknoloji alanındaki yetkinliğini ve üretim gücünü bu başarıyla gösterdi.

Yetkililer, yarışma süresince sergilenen projelerin; öğrencilerin problem çözme, üretme ve yenilik geliştirme becerilerindeki ilerlemeyi ortaya koyduğunu belirterek, HatayBot’un hem yerel hem de daha geniş ölçekli organizasyonlara zemin hazırlayan önemli bir platform olduğunu vurguladı.

Final programı, ödül töreni ve proje tanıtımlarıyla tamamlandı.

Haberin görsellerini aşağıdaki linkten indirebilirsiniz: 
Fotoğraf: https://sendgb.com/q0jaFsLAeBU  
Video: https://sendgb.com/83Hxzmn5TFh",04.04.2026
2026-04-03,HATAYBOT TEKNOLOJİ YARIŞI FİNAL YOLUNDA,https://hatay.bel.tr/haberler/HATAYBOT TEKNOLOJİ YARIŞI FİNAL YOLUNDA ,HATAYBOT TEKNOLOJİ YARIŞI FİNAL YOLUNDA,"Hatay Büyükşehir Belediyesi (HBB) öncülüğünde, Hatay İl Millî Eğitim Müdürlüğü ve Hatay Valiliği iş birliğiyle düzenlenen Hatay Robot Yarışması’nın final heyecanı sürüyor.

HatayBot yarışmasının açılış töreninde konuşan HBB Başkanı Öntürk, projenin her zaman yanında olduğunu belirterek görev yaptığı süre boyunca projeyi ve gençleri her zaman destekleyeceğini iletti.

Gençlerin bilimsel düşünme becerilerini geliştirmek ve teknoloji üretimine teşvik etmek ve amacıyla gerçekleştirilen organizasyonda finale kalan projeler, Antakya Merkez Kapalı Spor Salonu’nda ziyaretçilerin beğenisine sunuluyor.

HBB Hatay Bilim Merkezi HatayBot’a 15 takım, 30 öğrenciyle katılırken il genelinde toplamda ise 152 proje arasından 30 proje sahibi takım, finale kalarak yarışma alanında icatlarını sergiliyor.

Öğrenciler tarafından büyük bir özveriyle hazırlanan projeler, alanında uzman jüri üyeleri tarafından değerlendiriliyor.

Yarışma süresince katılımcılar hem projelerini tanıtma fırsatı buluyor hem de teknoloji alanındaki yetkinliklerini sergiliyor.

4 Nisan’da gerçekleştirilecek finallerde öğrenciler, komisyon değerlendirmeleri sonucunda ilkokul, ortaokul ve lise kategorilerinde ilk üçe giren projeler belirlenecek.

Hatay Büyükşehir Belediyesi yetkilileri, bilim, teknoloji ve eğitim alanında şehre katkı sunan bu tür organizasyonların artarak devam edeceğini belirterek gençlerin her zaman yanında olduklarını ifade etti.

HBB Kültür, Sanat ve Sosyal İşler dairesi, yarışma süresince yiyecek-içecek ikramı, teknik destek, tişört temini, reji ve kamera sistemi kurulumu ile tüm baskı malzemelerinin teminini sağlayarak etkinliğe katkıda bulundu.

Not: Haberin görsellerini aşağıdaki linkten indirebilirsiniz:
Fotoğraf: https://sendgb.com/v8bU2qXywxh 
Video: https://sendgb.com/7l4GLgskn1B",03.04.2026
2026-04-03,"BAŞKAN ÖNTÜRK, TARIMA CAN SUYU OLACAK TESİSİN AÇILIŞINA KATILDI",https://hatay.bel.tr/haberler/baskan-onturk-tarima-can-suyu-olacak-tesisin-acilisina-katildi,"BAŞKAN ÖNTÜRK, TARIMA CAN SUYU OLACAK TESİSİN AÇILIŞINA KATILDI","Hatay Büyükşehir Belediye (HBB) Başkanı Mehmet Öntürk, Cumhurbaşkanı Recep Tayyip Erdoğan’ın video konferans yöntemiyle toplu olarak açılışını yaptığı 563 tesisten biri olan Karasu Regülatörü ve Derivasyon Kanalı’nın açılış törenine katıldı.

Törene, Başkan Öntürk’ün yanı sıra; Hatay Valisi Mustafa Masatlı, Tarım ve Orman Bakan Yardımcısı Ahmet Bağcı, AK Parti Genel Başkan Yardımcısı Hüseyin Yayman, AK Parti İl Başkanı Mustafa Erdoğan, sivil toplum kuruluşu temsilcileri ve çok sayıda vatandaş katıldı.

Devlet Su İşleri Genel Müdürlüğü (DSİ) tarafından Kırıkhan ilçesinde 3,5 milyar lira bedelle hayata geçirilen Karasu Regülatörü ve Derivasyon Kanalı, Reyhanlı Barajı’na su aktarımı yaparak bölgede tarımsal üretimin daha verimli ve sürdürülebilir olmasını sağlayacak.

Projenin tarımsal altyapıyı ciddi oranda güçlendirerek üretimi arttırması, 585 bin dekar tarım arazisinin düzenli verimli sulama ile buluşarak ekonomiye yıllık 10 milyar lira katkı sağlaması bekleniyor.

Ayrıca aşırı yağışlar nedeniyle oluşabilecek taşkın sularının da kontrollü şekilde Reyhanlı Barajı’na yönlendirilerek tarımsal sulamada kullanılması ve tarım alanlarının korunması amaçlanıyor.

Haberin görsellerini aşağıdaki linkten indirebilirsiniz:

Fotoğraf: https://sendgb.com/KEBcVxfMLPi

Video: https://sendgb.com/PDIoKxbHhFW",03.04.2026
,“ALO 153” BİR TELEFONLA TÜM HATAY’A ÇÖZÜM SUNUYOR,https://hatay.bel.tr/haberler/alo-153-bir-telefonla-tum-hataya-cozum-sunuyor,“ALO 153” BİR TELEFONLA TÜM HATAY’A ÇÖZÜM SUNUYOR,"Hatay Büyükşehir Belediyesi (HBB), Çağrı Merkezi vatandaşlardan gelen talep ve sorunları daha hızlı, planlı ve etkin şekilde çözüme kavuşturmak amacıyla ilçe belediyeleriyle güçlü bir iş birliği modeli başlattı.

HBB Basın, Yayın ve Halkla İlişkiler Dairesi Başkanlığı bünyesinde hizmet veren Çağrı Merkezi çözüm odaklı belediyeciliği bir adım daha ileri taşıyor. Alo 153 hattı üzerinden vatandaşlarla ilçe belediyeler arasında bir köprü hizmeti oluşturmak amacıyla hayata geçirilen ve tüm ilçelerle tam entegrasyon sağlayan yeni havuz sistemiyle, il genelindeki sorunlar tek merkezde toplanarak değerlendiriliyor.

Büyükşehir Belediyesi ve ilçe belediyeler ALO 153 Beyaz Masa üzerinden gelen başvuruları karşılıklı olarak sistem üzerinden birbirlerine iletiyor. Böylelikle kentin dört bir yanında yaşayan vatandaşların talep ve sorunları çok kısa bir süre içerisinde değerlendirilerek çözüme kavuşturuluyor.

""Her Anınızda Yanınızdayız"" anlayışıyla 7/24 kesintisiz hizmet veren ALO 153 hattı, vatandaşlardan gelen her talebi daha hızlı, daha koordineli ve daha etkin bir şekilde çözüme kavuşturmak amacıyla kayıt altına alarak ilgili birimlere yönlendiriyor; süreç, sistem üzerinden takip edilerek vatandaşlara olumlu ya da olumsuz geri dönüş sağlanıyor.

Haberin görsellerini aşağıdaki linklerden indirebilirsiniz.
Fotoğraf: https://sendgb.com/WRMXVZJovx2
Video: https://sendgb.com/6Q4gpyPomlM",
2026-04-03,HBB–UNICEF ORTAKLIĞINDA ÇOCUK KORUMA ÇALIŞTAYI YAPILDI,https://hatay.bel.tr/haberler/hbbunicef-ortakliginda-cocuk-koruma-calistayi-yapildi,HBB–UNICEF ORTAKLIĞINDA ÇOCUK KORUMA ÇALIŞTAYI YAPILDI,"Hatay Büyükşehir Belediyesi (HBB) ile UNICEF iş birliğinde yürütülen “Çocuk Koruma Risklerinin Tespiti ve Hizmetlere Erişimde Koordinasyonun Güçlendirilmesi” Projesi kapsamında çalıştay gerçekleştirildi.

Çalıştaya HBB Sağlık ve Sosyal Hizmetler Dairesi Başkanlığı, İl ve İlçe Millî Eğitim Müdürlüğü, Aile ve Sosyal Hizmetler İl Müdürlüğü, Adli Yardım Kliniği ile sivil toplum kuruluşları temsilcileri katıldı.

Defne ilçesinde düzenlenen çalıştayda, Hatay’da yaşayan çocukların karşı karşıya olduğu riskler, ihtiyaçlar ve erken müdahale mekanizmaları çok paydaşlı bir yaklaşımla ele alındı.
 
UNICEF Gaziantep Saha Temsilcisi Gizem Özgün çalıştayın açılış konuşmasında, depremin üzerinden üç yıl geçmesine rağmen çocuk hakları alanındaki ihtiyaçların devam ettiğine dikkat çekti.

Çalıştayda UNICEF HBB Sosyal Hizmet Uzmanı Kübra Kozkıran, çocuk koruma risklerinin erken tespiti ve güvenli yönlendirme süreçlerine ilişkin kapsamlı bir sunum gerçekleştirdi.

Hatay Aile ve Sosyal Hizmetler Müdürlüğünden Psikolog Ali Yoğun, çocuk koruma alanında sunulan sosyal hizmet türlerine ilişkin değerlendirmelerde bulunurken, Adli Yardım Kliniği Hukuk Koordinatörü Avukat Sibel Şat Durkal ise doğal afetler sonrasında çocuk hakları bağlamında sunulan hukuki destekler hakkında katılımcıları bilgilendirdi.

Türkiye Kalkınma Vakfı Sosyal Hizmet Uzmanı Ali Karyelioğlu da mülteci çocuklara yönelik koruma hizmetleri üzerine bilgi paylaşımında bulundu.

Çalıştay kapsamında gerçekleştirilen oturumların ardından ortak mesaj ve öneriler paylaşıldı, katılımcıların soruları uzmanlar tarafından yanıtlandı.

Sağlık ve Sosyal Hizmetler Dairesi yetkilileri, UNICEF iş birliğiyle çocukların korunmasına yönelik hizmetlerin güçlendirilmesi, risklerin erken tespiti ve ihtiyaçlara hızlı müdahale edilmesi amacıyla çalışmaların kararlılıkla sürdürüldüğünü belirtti.

Not: Haberin görsellerini aşağıdaki linkten indirebilirsiniz:
Fotoğraf: https://sendgb.com/FalVqfDBzdK
Video: https://sendgb.com/qSYaZ2U5O8I",03.04.2026
2026-04-03,PAYAS’TA İÇME SUYU HATTI HIZLA ONARILDI,https://hatay.bel.tr/haberler/payasta-icme-suyu-hatti-hizla-onarildi,PAYAS’TA İÇME SUYU HATTI HIZLA ONARILDI,"Hatay Büyükşehir Belediyesi (HBB), içme suyu altyapısını daha sağlıklı ve sürdürülebilir hale getirmek amacıyla çalışmalarını kararlılıkla sürdürüyor.

HBB Su ve Kanalizasyon İdaresi Genel Müdürlüğü (HATSU), Payas ilçesi Karacaören isale hattında meydana gelen hasarı hızlı bir müdahaleyle giderdi.

Bük Kaynağı’ndan su taşıyan 300’lük çelik isale hattında meydana gelen arızanın giderilmesi için HATSU ve Yol Şube Müdürlüğü ekipleri birlikte çalıştı. Heyelan bölgesindeki zorlu şartlara rağmen yürütülen koordineli çalışmalar sayesinde arıza kısa sürede giderilerek hat yeniden işler hale getirildi.

Bakım ve onarım çalışmalarının tamamlanmasıyla birlikte; Kozludere, Bayraktepe, İstiklal ve Kültür mahallelerine yeniden su verilmeye başlandı.

HATSU yetkilileri, bölge halkı için stratejik öneme sahip olan bu tür hatlarda benzer olumsuzlukların yaşanmaması adına gerekli tedbirlerin alınacağını, il genelinde sağlıklı ve kesintisiz altyapı hedefiyle çalışmaların süreceğini belirtti.

Haberin görsellerini aşağıdaki linklerden indirebilirsiniz.
Fotoğraf: https://sendgb.com/sF6XbvNjpWV",03.04.2026
2026-04-02,HATAYBOT’TA FİNAL HEYECANI BAŞLADI,https://hatay.bel.tr/haberler/hataybotta-final-heyecani-basladi,HATAYBOT’TA FİNAL HEYECANI BAŞLADI,"Hatay İl Milli Eğitim Müdürlüğü, Hatay Valiliği ve Hatay Büyükşehir Belediyesi (HBB) işbirliği ile düşünen, üreten, çözüm geliştiren ve geleceğe yön veren bireylerin yetişmesine katkı sunmak amacıyla bu yıl ikincisi düzenlenen Hatay Robot Yarışması’nın açılış töreni gerçekleştirildi.

Merkez Kapalı Spor Salonu’nda gerçekleştirilen açılış törenine Hatay Valisi Mustafa Masatlı, HBB Başkanı Mehmet Öntürk, İl Milli Eğitim Müdürü Harun Tüysüz, Payas Belediye Başkanı Bekir Altan, kurum müdürleri, siyasi parti ve sivil toplum örgütü temsilcileri ile çok sayıda vatandaş katıldı.

Bölgenin teknoloji ekosistemini canlandırmayı ve gençleri geleceğin mesleklerine hazırlamayı hedefleyen “Hatay Robot Yarışması”nda öğrenciler tarafından hazırlanan 152 projeden 30’u finale kalarak HatayBot yarışma alanında icatlarını sergilemeye hak kazanmıştı.

Saygı duruşu ve İstiklal Marşı’nın okunmasıyla başlayan törenin açılış konuşmasını yapan Hatay Valisi Mustafa Masatlı, 6 Şubat 2023'teki depremlerin ardından Hatay’ın sadece bugüne değil geleceğe de hazırlandığını kaydederek, Hatay Valiliği koordinesinde gerçekleştirilen yarışmada öğrencilerin ‘Türkiye Yüzyılı’na yakışır projeler üretmesinin mutluluk verici olduğunu söyledi.

“HatayBot” yarışmasının açılış töreninde konuşan HBB Başkanı Öntürk, 6 Şubat depremlerinin ardından bir yandan afetin yaralarını sararken bir yandan da geleceği planlamak zorunda hissettiklerinin altını çizerek bu planlamalardan birinin de Hatay Robot Yarışması olduğunu kaydetti.

“Gençlerimiz bizim geleceğimiz ve geleceğimize sahip çıkmalıyız” diyerek yola çıktıklarını dile getiren Başkan Öntürk, yarışmaların geldiği noktadan duyduğu mutluluğunu belirterek sözlerini şöyle sürdürdü: “Birincisinde 552 grupla başladığımız proje bugün 1540 gruba ulaştı, 4067 öğrencimiz bu projeyle birebir ilgileniyor. Bu müthiş bir sayı. İşte Hatay’ın geleceği, ülkemizin geleceği bu gençlerimizle olacak. Gençler; siz çalışın, biz her zaman sizin yanınızda olacağız.”

Yarışmada birinci olan gençlere 1 Milyon TL’lik para ödülü ile 2 milyon TL’lik teçhizat ödülü vereceklerini müjdeleyen HBB Başkanı Öntürk “Elimizdeki kaynaklarla gençlerimize nasıl yardımcı oluruz diye düşündük. Karlısu’da bir atıl binamız vardı, o binamızı gençlerimize tahsis ettik. O binada 315 öğrencimiz, altı tane birbirinden kıymetli hocamızın emekleriyle Akdeniz Fibonacci Yarışması'nda birincilikler aldı. Maestro Robot Yarışması'nda birincilikler, dereceler aldılar. Gençlerimizi tebrik ediyorum. Kıymetli gençler; siz yürüyün, biz devletimizle, valiliğimizle, belediyemizle, milli eğitimimizle, milletimizle arkanızda olacağız. Kısa süre içerisinde de temelini atacağımız müthiş bir Bilim Merkezi’ni sizlerle kavuşturacağız. Türkiye sizlerle büyüyecek, ülkemiz sizlerle gelişecek ve gelecek sizlerin olacak inşallah.” dedi.

Hatay Robot Yarışmasının Türkiye Yüzyılı vizyonu hedeflerine ulaşacak nesilleri yetiştirme gayretinin en önemli göstergelerinden biri olduğuna değinen İl Milli Eğitim Müdürü Harun Tüysüz, bu yarışmanın sadece teknik becerilerin sergilendiği bir platform değil, aynı zamanda düşünen, üreten, çözüm geliştiren ve geleceğe yön veren bireylerin yetişmesine katkı sunan güçlü bir eğitim zemini olduğuna dikkat çekti.

İl Milli Eğitim Müdürü Tüysüz, HatayBot’un yerelde başlayan ancak ufku ulusal ve uluslararası düzeyde olan çok kıymetli bir adım olduğunun altını çizerek “Yarışmamız başta TEKNOFEST olmak üzere ulusal ve uluslararası robotik ve teknoloji yarışmalarına katılacak öğrencilerimiz için önemli bir hazırlık ve gelişim süreci sunmaktadır. Bu yönüyle yarışmamız gençlerimizi daha büyük sahnelere hazırlayan güçlü bir basamak niteliğindedir.” dedi.

Açılış konuşmalarının ardından protokol üyeleri stanları gezerek öğrencilerden robotlar hakkında bilgi aldı. Program; robot gösterileri, halk oyunları ve gençlik orkestrasının seslendirdiği birbirinden güzel şarkılarla son buldu.

2-3 ve 4 Nisan tarihlerinde Antakya Merkez Kapalı Spor Salonu’nda devam edecek finallerde öğrenciler, HatayBot Mucit Kategorisi Saha Değerlendirme Komisyonu karşısına çıkacak. Komisyonun değerlendirmesi sonucunda İlkokul, ortaokul ve lise olmak üzere her kademede ilk 3 proje belirlenecek.

Haberin görsellerini aşağıdaki linklerden indirebilirsiniz.
Fotoğraf: https://sendgb.com/gOkPolwzBdm
Video: https://sendgb.com/OFXPBwmY7l2",02.04.2026
2026-04-02,"MİNİKLER, HBB İLE OKULLARINI AĞAÇLANDIRIYOR","https://hatay.bel.tr/haberler/MİNİKLER, HBB İLE OKULLARINI AĞAÇLANDIRIYOR","MİNİKLER, HBB İLE OKULLARINI AĞAÇLANDIRIYOR","Hatay Büyükşehir Belediyesi (HBB), çevre bilincine sahip nesiller yetiştirmek amacıyla çocuklara yönelik eğitim çalışmalarını sürdürüyor.

HBB Tarımsal Hizmetler Dairesi Başkanlığı ile Park ve Bahçeler Dairesi Başkanlığı, fidan dikimi eğitimi ve Orman Haftası kapsamında okullarda fidan dikim etkinlikleri gerçekleştirdi.

Çocuklara doğa sevgisi kazandırmayı, çevre bilincini artırmayı ve sürdürülebilir yaşam konusunda farkındalık oluşturmayı hedefleyen etkinliklerde okullarda yürütülen ağaçlandırma çalışmalarıyla daha yeşil, sağlıklı ve yaşanabilir alanlar oluşturulurken, çocuklara doğayı korumanın ve gelecek nesillere aktarmanın önemi uygulamalı olarak anlatıldı.

Okul öncesi öğretmeni Ebru Yıldız, “Orman Haftası dolayısıyla çocuklarımıza çevre bilinci ve doğa sevgisini pekiştirmek adına Büyükşehirin ALO 153 hattı üzerinden fidan talebinde bulunduk. Kısa sürede taleplerimizi karşılayarak destek olan yetkililere teşekkür ederiz.” ifadelerini kullandı.

HBB yetkilileri, etkinlikleriyle çocukları yalnızca tüketen değil, aynı zamanda üreten bireyler olmaya teşvik ettiklerini belirterek kurum planlamaları ve eğitim kurumlarından gelen talepler doğrultusunda etkinliklerini il genelinde sürdüreceklerini iletti.

Haberin görsellerini aşağıdaki linkten indirebilirsiniz:
Fotoğraf: https://sendgb.com/wfBW3j7RyUh
Video: https://sendgb.com/xsAkjaEvneH",02.04.2026
2026-04-02,ADIYAMAN BELEDİYE BAŞKANI’NDAN BAŞKAN ÖNTÜRK’E ZİYARET,https://hatay.bel.tr/haberler/adiyaman-belediye-baskanindan-baskan-onturke-ziyaret,ADIYAMAN BELEDİYE BAŞKANI’NDAN BAŞKAN ÖNTÜRK’E ZİYARET,"Adıyaman Belediye Başkanı Abdurrahman Tutdere, Hatay Büyükşehir Belediye (HBB) Başkanı Mehmet Öntürk’ü makamında ziyaret etti.

Başkan Öntürk’ün HBB Kisecik Yerleşkesi’nde bulunan makamında gerçekleşen ziyarette, 6 Şubat depremleri sonrası Hatay ve Adıyaman’da gerçekleştirilen çalışmalar masaya yatırılarak karşılıklı fikir alışverişinde bulunuldu.

Başkan Öntürk, Başkan Tutdere’ye Habibineccar Camisi tablosu hediye etti ve ziyaretinden dolayı teşekkür etti.

Haberin görsellerini aşağıdaki linkten indirebilirsiniz: 
Fotoğraf: https://sendgb.com/KGQvnF5R2hb",02.04.2026
2026-04-01,HATAY’DA PACE PROJESİ YEREL YÖNETİMLER KONFERANSI YAPILDI,https://hatay.bel.tr/haberler/hatayda-pace-projesi-yerel-yonetimler-konferansi-yapildi,HATAY’DA PACE PROJESİ YEREL YÖNETİMLER KONFERANSI YAPILDI,"Hatay Büyükşehir Belediye (HBB) Başkanı Mehmet Öntürk, “Birlikte Daha Güçlü Yeniden İnşa” sloganıyla gerçekleştirilen “Hatay’da Deprem Sonrası Süreçte Avrupa Birliği (AB) Toparlanma Desteği ve PACE Projesi Yerel Yönetimler Konferansı”na katıldı.

Antakya ilçesinde yer alan Müze Otelde düzenlenen konferansa; Hatay Valisi Mustafa Masatlı, HBB Başkanı Mehmet Öntürk, AB Delegasyonu İş Birliği Bölümü Başkanı Maria Luisa Wyganowski, Avrupa Komisyonu Bölgesel ve Kentsel Politika Genel Müdürlüğü Direktörü Sofia Alves, AB Başkanlığı Mali İş Birliği ve Proje Uygulama Genel Müdürü Bülent Özcan, Almanya Büyükelçiliği Elçi Müsteşarı Stefan Bredohl, AB Türkiye Delegasyonu Geçici Maslahatgüzarı Jurgis Vilčinskas, Türkiye Belediyeler Birliği Genel Sekreter Yardımcısı Dr. Şengül Altan Arslan, Antakya Belediye Başkanı İbrahim Naci Yapar, Defne Belediye Başkanı Halil İbrahim Özgün, Samandağ Belediye Başkanı Emrah Karaçay, Hatay Ticaret ve Sanayi Odası Başkanı Hikmet Çinçin, kurum ve kuruluş temsilcileri, STK temsilcileri ve çok sayıda vatandaş katıldı.

Vali Masatlı konferansta yaptığı konuşmada, “Hatay 6 Şubat ve devamındaki depremlerde en ağır yarayı alan ilimiz olmuştur. Hatay’da yalnızca fiziki mekanları değil; diğer yandan umudu, güveni, üretimi ve geleceği de yeniden ayağa kaldırıyoruz. Kalıcı toparlanma; merkezi idarenin güçlü liderliğiyle, yerinden yönetimlerin katkısıyla, uluslararası kurumların desteğiyle, sivil toplum örgütlerinin gayretiyle ve bütün paydaşların müşterek sorumluluk bilinciyle ancak mümkündür. Hatay, bugün devlet-millet dayanışmasının sahadaki en güçlü örneklerinden biridir. Hatay, bugün Cumhurbaşkanımız Sayın Recep Tayyip Erdoğan Beyefendi’nin liderliğinde yürütülen büyük ihya, inşa ve imar hamlesiyle her yanı ve yönüyle yeniden ayağa kalkan bir şehirdir.” dedi.

HBB Başkanı Öntürk ise 6 Şubat felaketinin ardından yıkılan şehir için verdikleri sözü hatırlatarak Hatay’ı mazeret üretmeden ve birlikte yeniden ayağa kaldırma kararlılıklarını dile getirdi.

Başkanı Öntürk, “Bugün geldiğimiz noktaya dönüp baktığımızda; Sayın Cumhurbaşkanı’mızın o sarsılmaz iradesi, devletimizin şefkatli eli ve milletimizin o muazzam dayanışmasıyla Hatay’da adeta bir diriliş destanı yazdık. Bugün itibarıyla Hatay’ımızda tam 180 bin bağımsız bölümü tamamladık.” dedi.

Başkan Öntürk, “Konutlarıyla, iş yerleriyle, sosyal donatılarıyla Cumhuriyet tarihimizin en büyük yeniden inşa sürecini alnımızın akıyla hayata geçirdik. Çarşılarımız şenlendi, esnafımız dükkânına kavuştu, üretim çarkları yeniden güçlü bir şekilde dönmeye başladı.” sözlerinden sonra 455 bininci konutun anahtar teslimini Hatay’da gerçekleştirdiklerini hatırlattı.

Dünya tarihinde böylesine büyük bir felaketin ardından bu kadar kısa sürede gerçekleştirilen kapsamlı bir yeniden inşa sürecinin benzerinin olmadığını belirten Başkan Öntürk, Hatay’daki çalışmaları yerinde gören yabancı heyetlerin ve büyükelçilerin yürütülen çalışmalardan olumlu yönde etkilendiğini ifade etti.

Hatay’da ayrım gözetmeksizin tüm inançların kutsal mekânlarına destek verdiklerini ve tarihî dokuyu özenle yeniden inşa ettiklerini belirten Başkan Öntürk, şehrin önemli noktalarını yeniden düzenlediklerini ve altyapı çalışmalarının büyük bir titizlikle sürdürüldüğünü ifade etti.

“Sıfır Kilometre Hatay” kurmayı hedeflediklerini aktaran Başkan Öntürk, “Bugün açılışını yaptığımız, Alman Uluslararası İş birliği Kurumu (GİZ) ve AB tarafından finanse edilen PACE Projesi; vizyonumuzun, uluslararası dayanışmanın ve birlikte iyileşme iradesinin en somut, en kıymetli adımlarından biridir. PACE kapsamında Hatay'dan tam 23 proje başvurusu aldık ve 10 tanesi ön değerlendirmeyi başarıyla geçti. Hatay'ı; sadece bugüne değil, önümüzdeki 50 yıla, 100 yıla hazırlıyoruz.” dedi.

Sofia Alves, Bülent Özcan, Stefan Bredohl, Jurgis Vilčinskas ve Şengül Altan Arslan yaptıkları konuşmalarda Hatay’a olan desteklerinin süreceğini vurgulayarak birlik, beraberlik ve dayanışma vurgusu yaptılar.

Not: Haberin görsellerini aşağıdaki linkten indirebilirsiniz:
Fotoğraf: https://sendgb.com/mDAEofTYpSR
Video: https://sendgb.com/UOQD2PHvSZF",01.04.2026
